Site,WAN,Device Notes Provider,ARIN Provider,Speed,Available Circuits
"AZN 04","WAN1","AT&T","","20.0M x 20.0M","No circuits"
"AZP 41","WAN1","AT&T","","20.0M x 20.0M","No circuits"
"CAN_00","WAN2","AT&T","","300.0M x 300.0M","No circuits"
"CAS 46","WAN1","AT&T","","20.0M x 20.0M","No circuits"
"CAS_00","WAN1","AT&T","","300.0M x 300.0M","No circuits"
"COD 28","WAN2","AT&T","","20.0 M","Comcast Workplace (Primary)"
"FLJ_00","WAN2","AT&T","","300.0M x 300.0M","No circuits"
"GAACALLCNTR","WAN1","AT&T","","300.0M x 300.0M","No circuits"
"GAA_00","WAN1","AT&T","","1000.0 M","No circuits"
"ILC_00","WAN2","AT&T","","300.0M x 300.0M","No circuits"
"INI 07","WAN2","AT&T","","25.0 M","Spectrum (Primary)"
"KSK_00","WAN2","AT&T","","300.0M x 300.0M","No circuits"
"MOS 02","WAN2","AT&T","","20.0M x 20.0M","AT&T Broadband II (Primary)"
"MOS_00","WAN2","AT&T","","1000.0M x 1000.0M","No circuits"
"TNN_00","WAN1","AT&T","","300.0M x 300.0M","No circuits"
"TXH_00","WAN1","AT&T","","300.0M x 300.0M","No circuits"
"WDTD 01","WAN1","AT&T","","1000.0M x 1000.0M","No circuits"
"CAN 15","WAN2","AT&T Broadband II","","300.0M x 75.0M","AT&T Broadband II (Primary)"
"CAN 35","WAN1","AT&T Broadband II","","1000.0M x 1000.0M","No circuits"
"CAS 45","WAN1","AT&T Broadband II","","1000.0M x 1000.0M","AT&T Broadband II (Secondary)"
"GAA 05","WAN2","AT&T Broadband II","","300.0 M","AT&T Broadband II (Primary)"
"GAA 10","WAN1","AT&T Broadband II","","1000.0 M","No circuits"
"GAA 12","WAN1","AT&T Broadband II","","1000.0 M","No circuits"
"GAA 13","WAN1","AT&T Broadband II","","1000.0 M","No circuits"
"GAA 15","WAN1","AT&T Broadband II","","1000.0 M","No circuits"
"GAA 18","WAN1","AT&T Broadband II","","1000.0 M","No circuits"
"GAA 21","WAN1","AT&T Broadband II","","1000.0 M","No circuits"
"GAA 27","WAN1","AT&T Broadband II","","1000.0 M","No circuits"
"GAA 30","WAN1","AT&T Broadband II","","1000.0M x 1000.0M","No circuits"
"GAA W00","WAN1","AT&T Broadband II","","300.0M x 30.0M","No circuits"
"ILC 01","WAN1","AT&T Broadband II","","1000.0M x 1000.0M","No circuits"
"ILC 04","WAN1","AT&T Broadband II","","1000.0M x 1000.0M","AT&T Broadband II (Secondary)"
"ILC 06","WAN1","AT&T Broadband II","","1000.0 M","No circuits"
"ILC 15","WAN1","AT&T Broadband II","","1000.0 M","No circuits"
"ILC 18","WAN1","AT&T Broadband II","","1000.0 M","No circuits"
"ILC 19","WAN1","AT&T Broadband II","","1000.0 M","No circuits"
"ILC 29","WAN1","AT&T Broadband II","","1000.0M x 1000.0M","No circuits"
"INI 03","WAN1","AT&T Broadband II","","300.0M x 300.0M","AT&T Broadband II (Secondary)"
"INW 01","WAN1","AT&T Broadband II","","1000.0 M","No circuits"
"KSK 01","WAN1","AT&T Broadband II","","1000.0 M","No circuits"
"MID 05","WAN1","AT&T Broadband II","","1000.0 M","No circuits"
"MID 07","WAN1","AT&T Broadband II","","1000.0 M","No circuits"
"MID 09","WAN1","AT&T Broadband II","","1000.0 M","No circuits"
"MID 13","WAN1","AT&T Broadband II","","1000.0 M","No circuits"
"MID 14","WAN1","AT&T Broadband II","","300.0 M","No circuits"
"MID 16","WAN1","AT&T Broadband II","","1000.0 M","No circuits"
"MID 17","WAN1","AT&T Broadband II","","1000.0 M","No circuits"
"MID 19","WAN1","AT&T Broadband II","","1000.0 M","No circuits"
"MIF 04","WAN1","AT&T Broadband II","","1000.0 M","No circuits"
"MIG 07","WAN1","AT&T Broadband II","","1000.0 M","No circuits"
"MIL 15","WAN1","AT&T Broadband II","","1000.0 M","No circuits"
"NCC 26","WAN2","AT&T Broadband II","","1000.0 M","AT&T Broadband II (Primary)"
"TNN 02","WAN1","AT&T Broadband II","","1000.0 M","AT&T Broadband II (Secondary)"
"TNN 06","WAN1","AT&T Broadband II","","1000.0 M","No circuits"
"TXD 71","WAN1","AT&T Broadband II","","300.0 M","No circuits"
"TXH 04","WAN1","AT&T Broadband II","","1000.0 M","No circuits"
"TXH 05","WAN1","AT&T Broadband II","","300.0 M","No circuits"
"TXH 34","WAN1","AT&T Broadband II","","1000.0M x 1000.0M","AT&T Broadband II (Secondary)"
"TXH 41","WAN1","AT&T Broadband II","","1000.0 M","No circuits"
"TXH 50","WAN2","AT&T Broadband II","","300.0M x 300.0M","AT&T Broadband II (Primary)"
"TXH 52","WAN1","AT&T Broadband II","","1000.0 M","No circuits"
"TXH 55","WAN1","AT&T Broadband II","","1000.0 M","No circuits"
"TXH 56","WAN1","AT&T Broadband II","","1000.0 M","No circuits"
"TXH 65","WAN1","AT&T Broadband II","","1000.0 M","No circuits"
"GAA 25","WAN1","AT&T Broadband II	","","1000.0M x 1000.0M","No circuits"
"WDTD 01","WAN2","ATT","","100.0M x 10.0M","No circuits"
"TXD 76","WAN2","Altice","","500.0M x 50.0M","Altice (Primary)"
"TNE 01","WAN2","BrightRidge","","300.0M x 30.0M","No circuits"
"MOO 04","WAN1","Brightspeed","","300.0M x 300.0M","No circuits"
"NCC 48","WAN1","Brightspeed","NET-64-152-0-0-1","300.0 M","No circuits"
"AZP 44","WAN1","CenturyLink","","100.0M x 10.0M","CenturyLink/Embarq (Secondary)"
"AZP 47","WAN2","CenturyLink","","10.0M x 1.0M","Cox Business/BOI (Primary)"
"COD 36","WAN2","CenturyLink","","50.0 M","Comcast Workplace (Primary)"
"COD 38","WAN1","CenturyLink","","100.0M x 10.0M","CenturyLink/Qwest (Secondary)"
"IAQ 01","WAN2","CenturyLink","","10.0M x 2.0M","Mediacom/BOI (Primary)"
"NMA_00","WAN2","CenturyLink","","100.0M x 10.0M","No circuits"
"NVL 15","WAN2","CenturyLink","","300.0M x 30.0M","No circuits"
"NVL 24","WAN2","CenturyLink","","10.0M x 1.0M","Cox Business/BOI (Primary)"
"CAL_00","WAN2","Charter Communications","","600.0M x 35.0M","No circuits"
"GAACALLCNTR","WAN2","Charter Communications","","100.0M x 30.0M","No circuits"
"INI_00","WAN2","Charter Communications","","600.0M x 35.0M","No circuits"
"KSK_00","WAN1","Charter Communications","","600.0M x 35.0M","No circuits"
"MOS_00","WAN1","Charter Communications","","750.0M x 35.0M","No circuits"
"NCC_00","WAN1","Charter Communications","","600.0M x 35.0M","No circuits"
"CAN 25","WAN1","Comcast","","300.0M x 30.0M","AT&T Broadband II (Secondary)"
"CAN 30","WAN2","Comcast","","300.0 M","AT&T Broadband II (Primary)"
"CAN 35","WAN2","Comcast","","300.0M x 35.0M","No circuits"
"CAN_00","WAN1","Comcast","","300.0M x 30.0M","No circuits"
"COD 01","WAN1","Comcast","","300.0M x 35.0M","No circuits"
"COD 03","WAN1","Comcast","","300.0M x 35.0M","No circuits"
"COD 08","WAN1","Comcast","","300.0M x 35.0M","No circuits"
"COD 09","WAN1","Comcast","","300.0M x 30.0M","No circuits"
"COD 13","WAN1","Comcast","","300.0M x 35.0M","No circuits"
"COD 23","WAN1","Comcast","","300.0M x 35.0M","EB2-Lumen DSL (Secondary)"
