site_name,site_id,circuit_purpose,provider_name,speed,cost,gets_badge,exclusion_reason,wan1_provider,wan2_provider,wan1_arin,wan2_arin,arin_could_help
LAB 01,LAB 01,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,No,Lab site,: Cox Business/BOI,: REV Business,Cox Communications,IBM Cloud,Yes
LAB 01,LAB 01 -B,Secondary,REV Business,100.0M x 100.0M,100.00,No,Lab site,: Cox Business/BOI,: REV Business,Cox Communications,IBM Cloud,No
LAB 02,LAB 02 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,No,Lab site,: Cox Business/BOI,: AT&T Broadband II,Cox Communications,AT&T,Yes
LAB 02,LAB 02,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,No,Lab site,: Cox Business/BOI,: AT&T Broadband II,Cox Communications,AT&T,Yes
LAB 03,LAB 03- B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,No,Lab site,: AT&T Broadband II,: Cox Business/BOI,AT&T,Cox Communications,Yes
LAB 03,LAB 03,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,No,Lab site,: AT&T Broadband II,: Cox Business/BOI,AT&T,Cox Communications,Yes
LAB 04,LAB 04,Primary,AT&T Broadband II,1000.0M x 1000.0M,165.01,No,Lab site,: AT&T Broadband II,,AT&T,Private IP,Yes
LAB 06,LAB 06,Primary,AT&T Broadband II,1000.0M x 1000.0M,165.01,No,Lab site,: AT&T Broadband II,: Cox Business/BOI,AT&T,Cox Communications,Yes
LAB 06,LAB 06- B,Secondary,Cox Business/BOI,300.0M x 30.0M,266.67,No,Lab site,: AT&T Broadband II,: Cox Business/BOI,AT&T,Cox Communications,Yes
COX 01,WDCO01,Primary,Comcast Workplace,600.0M x 35.0M,234.45,No,No Discount-Tire tag,,Comcast Workplace,,Private IP,No
COX 01,WDCO01,Primary,Comcast Workplace,600.0M x 35.0M,234.45,No,No Discount-Tire tag,,Comcast Workplace,AT&T,Comcast,Yes
MIAC02,MIAC02,Primary,AT&T Broadband II,1000.0M x 200.0M,165.00,No,No Discount-Tire tag,AT&T Broadband II,Digi,AT&T,Private IP,Yes
MIL 00,MIL 00,Primary,Comcast Workplace,250.0M x 25.0M,186.18,No,No Discount-Tire tag,Comcast Workplace,AT&T Broadband II,Comcast,AT&T,Yes
MIL 00,MIL 00 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,No,No Discount-Tire tag,Comcast Workplace,AT&T Broadband II,Comcast,AT&T,Yes
NMAW00,NMAW00,Primary,Comcast Workplace,600.0M x 35.0M,234.45,No,No Discount-Tire tag,Comcast Workplace,Digi,Comcast,AT&T,Yes
TXH SE Flex DTU,TXH SE Flex DTU,Primary,Comcast Workplace,600.0M x 35.0M,234.45,No,No Discount-Tire tag,Comcast Workplace,,Private IP,,No
VAR 02,VAR 02,Primary,Comcast Workplace,200.0M x 20.0M,134.45,No,No Discount-Tire tag,Comcast Workplace,VZW Cell,,,No
AZP 00,AZP000,Primary,Cox Business/BOI,300.0M x 30.0M,387.24,No,No Meraki device,,,,,No
CAL000,CAL000,Primary,Frontier FIOS,500.0M x 500.0M,59.99,No,No Meraki device,,,,,No
CAL000,CAL000 -B,Secondary,Spectrum,600.0M x 35.0M,172.23,No,No Meraki device,,,,,No
CALW01,CALW01,Primary,EB2-Frontier Fiber,1000.0M x 1000.0M,339.00,No,No Meraki device,,,,,No
CAN00,CAN00,Primary,Comcast Workplace,250.0M x 25.0M,186.18,No,No Meraki device,,,,,No
CAN00,CAN00 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,No,No Meraki device,,,,,No
CAS00,CAS00,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,No,No Meraki device,,,,,No
CAS00,CAS00 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,No,No Meraki device,,,,,No
COD00,COD00,Primary,Comcast Workplace,600.0M x 35.0M,234.45,No,No Meraki device,,,,,No
FLJ 00,FLJ 00 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,No,No Meraki device,,,,,No
FLJ 00,FLJ 00,Primary,Comcast Workplace,300.0M x 30.0M,175.56,No,No Meraki device,,,,,No
GAA 00,GAA 00,Primary,AT&T Broadband II,1000.0M x 1000.0M,165.01,No,No Meraki device,,,,,No
GAA 00,GAA 00 -B,Secondary,Comcast Workplace,600.0M x 35.0M,234.45,No,No Meraki device,,,,,No
GAACALLCTR,GAACALLCTR -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,No,No Meraki device,,,,,No
GAACALLCTR,GAACALLCTR,Primary,Spectrum,600.0M x 35.0M,244.45,No,No Meraki device,,,,,No
ILC00,ILC00 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,No,No Meraki device,,,,,No
ILC00,ILC00,Primary,Comcast Workplace,300.0M x 30.0M,175.56,No,No Meraki device,,,,,No
ILR01,ILR01,Primary,Comcast Workplace,600.0M x 35.0M,234.45,No,No Meraki device,,,,,No
ILX 01,ILX 01,Primary,Comcast Workplace,250.0M x 25.0M,186.18,No,No Meraki device,,,,,No
INIW00,INIW00,Primary,Comcast Workplace,250.0M x 25.0M,186.18,No,No Meraki device,,,,,No
INIW00,INIW00 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,No,No Meraki device,,,,,No
KONFARA,KONFARA,Primary,Cox Business/BOI,500.0M x 50.0M,342.23,No,No Meraki device,,,,,No
KSK00N,KSK00N -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,No,No Meraki device,,,,,No
KSK00N,KSK00N,Primary,Spectrum,300.0M x 20.0M,207.45,No,No Meraki device,,,,,No
KYN 00,KYN 00 -B,Secondary,Spectrum,600.0M x 35.0M,172.23,No,No Meraki device,,,,,No
KYN 00,KYN 00,Primary,Cincinnati Bell,400.0M x 200.0M,84.99,No,No Meraki device,,,,,No
MIA00,MIA00,Primary,Comcast Workplace,600.0M x 35.0M,234.45,No,No Meraki device,,,,,No
MIHW00,MIHW00,Primary,Comcast Workplace,250.0M x 25.0M,186.18,No,No Meraki device,,,,,No
MNM 00,MNM 00 New,Primary,Comcast Workplace,600.0M x 35.0M,234.45,No,No Meraki device,,,,,No
MNM 09 -B,MNM 09 -B,Secondary,Comcast Workplace,600.0M x 35.0M,234.45,No,No Meraki device,,,,,No
MNMW01,MNMW01,Primary,Comcast Workplace,600.0M x 35.0M,234.45,No,No Meraki device,,,,,No
MOS 00,MOS 00,Primary,Spectrum,600.0M x 35.0M,172.23,No,No Meraki device,,,,,No
MOS 00,MOS 00-B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,No,No Meraki device,,,,,No
MOS XX,MOS XX,Primary,Spectrum,600.0M x 35.0M,172.23,No,No Meraki device,,,,,No
MOS XX,MOS XX -B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,No,No Meraki device,,,,,No
NCC00,NCC00 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,No,No Meraki device,,,,,No
NCC W00,NCC W00,Primary,Spectrum,600.0M x 35.0M,244.45,No,No Meraki device,,,,,No
NMA00,NMA00,Primary,Comcast Workplace,300.0M x 30.0M,175.56,No,No Meraki device,,,,,No
NMA00,NMA00- B,Secondary,EB2-Centurylink DSL,100.0M x 10.0M,128.00,No,No Meraki device,,,,,No
NMA Call Center,NMA Call Center,Primary,Comcast Workplace,600.0M x 35.0M,234.45,No,No Meraki device,,,,,No
NNM 09,NNM 09,Primary,Comcast Workplace,600.0M x 35.0M,234.45,No,No Meraki device,,,,,No
NVL000,NVL000,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,No,No Meraki device,,,,,No
NVLW 01,NVLW 01,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,No,No Meraki device,,,,,No
OKO00,OKO00,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,No,No Meraki device,,,,,No
TNN00,TNN00,Primary,Comcast Workplace,300.0M x 30.0M,175.56,No,No Meraki device,,,,,No
TNN00,TNN00 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,No,No Meraki device,,,,,No
