model,count,position
800-27645-01,2,
800-27645-02,30,
800-27645-03,4,
C3900-SPE150/K9,6,Module
C3900-SPE250/K9,2,Module
C8300-1N1S-4T2X,4,Standalone
C8300-2N2S-4T2X,12,Standalone
C8500-12X,4,Standalone
C9300-24T,2,Master
C9300-NM-8X,2,Module
C9400-LC-48P,21,Module
C9400-SUP-1XL,6,Module
C9410R,6,Chassis
CISCO3945-CHASSIS,8,Standalone
C-NIM-1X,6,Module
DCS-7050SX3-48YC8,8,Standalone
N2K-B22DELL-P,4,FEX-102
N2K-C2232PP-10GE,10,FEX
N2K-C2248TP-1GE,4,FEX
N56-M24UP2Q,4,Module
N5K-C5010P-BF,4,Standalone
N5K-C56128P,4,Parent Switch
N7K-C7010,4,Parent Switch
N7K-C7010-FAB-2,20,Module
N7K-F248XP-25E,8,Module
N7K-F312FQ-25,12,Module
N7K-SUP2E,8,Module
N9K-C93180YC-FX-24,2,Standalone
NIM-1MFT-T1/E1,2,Module
PVDM3-256,4,Module
PVDM3-64,6,Module
SM-D-48FXS-E,4,Module
VG224,6,Standalone
VG350/K9,2,Standalone
VG350-SPE150/K9,2,Module
WS-C2950-24,1,Standalone
WS-C2960-48TT-L,2,Standalone
WS-C2960CX-8PC-L,5,Standalone
WS-C2960S-24TS-S,1,Standalone
WS-C2960S-48TS-S,1,Standalone
WS-C2960X-24PS-L,2,Standalone
WS-C3750-48PS-S,11,Standalone
WS-C3750G-24TS-S1U,1,Standalone
WS-C3750G-48TS-E,1,Standalone
WS-C3750G-48TS-S,20,Standalone
WS-C3750V2-48PS-S,3,Standalone
WS-C4510R+E,4,Standalone
WS-CBS3130X-S,9,Standalone
WS-CBS3130X-S-F,9,Standalone
WS-X45-SUP8-E,6,Module
WS-X4648-RJ45V+E,16,Module
WS-X4748-RJ45V+E,8,Module
