site_name,csv_site_id,csv_circuit_purpose,csv_provider,csv_speed,csv_monthly_cost,csv_ip_address,db_site_id,db_circuit_purpose,db_provider,db_speed,db_cost,db_ip,db_status,data_source,meraki_network_exists,has_discount_tire_tag,meraki_wan1_provider,meraki_wan1_speed,meraki_wan1_cost,meraki_wan1_ip,meraki_wan2_provider,meraki_wan2_speed,meraki_wan2_cost,meraki_wan2_ip,exclusion_reason,provider_match_status,would_get_dsr_badge
ALB 01,ALB 01,,AT&T Broadband II,200.0M x 200.0M,105.0,108.209.60.25,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
ALB 01,ALB 01 -B,,Spectrum,600.0M x 35.0M,172.23,24.197.4.98,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
ALB 03,ALB 03,,Spectrum,600.0M x 35.0M,172.23,66.190.127.170,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
ALM 01,ALM 01,,Spectrum,600.0M x 35.0M,244.45,35.135.143.110,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
ALM 01,ALM 01 -B,,AT&T Broadband II,300.0M x 300.0M,105.01,66.141.81.241,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
ALM 02,ALM 02,,Spectrum,300.0M x 20.0M,207.45,156.19.135.26,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
ALM 02,ALM 02 -B,,AT&T Broadband II,300.0M x 300.0M,105.01,104.52.182.129,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
ALM 03,ALM 03,,Spectrum,940.0M x 35.0M,355.56,156.19.130.22,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
ALM 03,ALM 03- B,,AT&T Broadband II,1000.0M x 1000.0M,165.01,75.6.50.193,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
ALM 04,ALM 04,,AT&T Broadband II,1000.0M x 1000.0M,165.01,76.242.168.129,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
ALM 04,ALM 04- B,,Spectrum,600.0M x 35.0M,172.23,24.197.80.118,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
ALN 01,ALN 01,,Comcast Workplace,300.0M x 30.0M,175.56,96.82.23.117,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
ALN 02,ALN 02,,AT&T Broadband II,300.0M x 300.0M,105.01,162.199.104.113,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
ALN 02,ALN 02 -B,,Comcast Workplace,250.0M x 25.0M,186.18,70.90.225.177,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
ALS 01,ALS 01,,Spectrum,600.0M x 35.0M,172.23,173.197.231.154,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
ALS 01,ALS 01 -B,,Comcast Workplace,300.0M x 30.0M,175.56,96.72.25.77,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
ALS 02,ALS 02,,C Spire,1000.0M x 1000.0M,349.0,50.86.27.54,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
ALS 02,ALS 02-B,,Brightspeed,300.0M x 300.0M,995.0,64.159.249.182,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
ARL 01,ARL 01,,AT&T Broadband II,1000.0M x 1000.0M,165.01,107.129.220.41,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
ARL 01,ARL 01- B,,Comcast Workplace,1000.0M x 35.0M,282.23,50.214.80.29,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
ARL 02,ARL 02,,Comcast Workplace,250.0M x 25.0M,186.18,50.214.80.229,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
