site_name,site_id,circuit_purpose,circuit_provider,circuit_speed,circuit_cost,circuit_ip,status,data_source,meraki_wan1_provider,meraki_wan1_speed,meraki_wan1_ip,meraki_wan2_provider,meraki_wan2_speed,meraki_wan2_ip,has_meraki_device,has_dt_tag,exclusion_reason,provider_match,would_get_dsr_badge
AZF 02,AZF 02,Primary,Altice West,500.0M x 50.0M,222.23,NaN,Enabled,csv_import,Lightpath ,300.0M x 300.0M,207.192.240.178,Lightpath,300.0M x 300.0M,24.121.190.245,Yes,Yes,Eligible,No match,No
AZH 01,AZH 01,Primary,Altice West,500.0M x 50.0M,212.77,24.121.227.61,Enabled,csv_import,Optimum,500.0M x 50.0M,24.121.227.61,Digi,Cell,192.168.2.215,Yes,Yes,Eligible,No match,No
AZP 00,AZP000,Primary,Cox Business/BOI,300.0M x 30.0M,387.24,174.71.173.226,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
AZT 14,AZT 14 -B,Secondary,Login,100.0M x 20.0M,450.00,204.17.35.54,Enabled,csv_import,Cox Business/BOI,300.0M x 30.0M,68.14.243.158,"Login, Inc.",100.0M x 20.0M,204.17.35.54,Yes,Yes,Eligible,No match,No
CAL000,CAL000,Primary,Frontier FIOS,500.0M x 500.0M,59.99,47.180.93.139,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
CAL000,CAL000 -B,Secondary,Spectrum,600.0M x 35.0M,172.23,98.152.193.10,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
CALW01,CALW01,Primary,EB2-Frontier Fiber,1000.0M x 1000.0M,339.00,47.178.4.124,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
CAN00,CAN00,Primary,Comcast Workplace,250.0M x 25.0M,186.18,96.81.183.205,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
CAN00,CAN00 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,108.86.147.217,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
CAN 22,CAN 22,Primary,Vista Broadband,15.0M x 15.0M,250.00,206.176.254.42,Enabled,csv_import,Comcast Workplace,15.0M x 15.0M,50.213.15.41,AT&T Broadband II,300.0M x 300.0M,99.87.250.177,Yes,Yes,Eligible,No match,No
CAN 58,CAN 58 -B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,99.33.119.65,Enabled,csv_import,Private Customer - AT&T Internet Services,250.0M x 25.0M,99.33.119.66,Comcast Workplace,1000.0M x 1000.0M,75.150.3.233,Yes,Yes,Eligible,No match,No
CAS00,CAS00,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,98.178.226.110,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
CAS00,CAS00 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,76.210.250.113,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
COD00,COD00,Primary,Comcast Workplace,600.0M x 35.0M,234.45,173.164.63.45,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
COX 01,WDCO01,Primary,Comcast Workplace,600.0M x 35.0M,234.45,50.189.54.253,Enabled,csv_import,,,,Comcast Workplace,750.0M x 35.0M,10.1.10.53,Yes,No,No Discount-Tire tag,Exact match WAN2,No
COX 01,WDCO01,Primary,Comcast Workplace,600.0M x 35.0M,234.45,50.189.54.253,Enabled,csv_import,,,12.55.24.82,Comcast Workplace,750.0M x 35.0M,50.189.54.253,Yes,No,No Discount-Tire tag,Exact match WAN2,No
FLJ 00,FLJ 00,Primary,Comcast Workplace,300.0M x 30.0M,175.56,96.76.16.49,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
FLJ 00,FLJ 00 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,99.27.27.113,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
GAA 00,GAA 00,Primary,AT&T Broadband II,1000.0M x 1000.0M,165.01,64.109.201.225,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
GAA 00,GAA 00 -B,Secondary,Comcast Workplace,600.0M x 35.0M,234.45,173.15.209.109,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
GAA 03,GAA 03 -B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,99.34.24.241,Enabled,csv_import,Private Customer - AT&T Internet Services,250.0M x 25.0M,99.34.24.243,"Comcast Cable Communications, LLC",1000.0M x 1000.0M,10.1.10.85,Yes,Yes,Eligible,No match,No
GAACALLCTR,GAACALLCTR,Primary,Spectrum,600.0M x 35.0M,244.45,47.46.162.82,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
GAACALLCTR,GAACALLCTR -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,104.184.151.49,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
ILC00,ILC00,Primary,Comcast Workplace,300.0M x 30.0M,175.56,96.74.249.185,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
ILC00,ILC00 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,107.209.6.145,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
ILR01,ILR01,Primary,Comcast Workplace,600.0M x 35.0M,234.45,74.94.116.73,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
ILX 01,ILX 01,Primary,Comcast Workplace,250.0M x 25.0M,186.18,173.165.103.213,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
INIW00,INIW00,Primary,Comcast Workplace,250.0M x 25.0M,186.18,50.195.198.237,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
INIW00,INIW00 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,99.33.34.9,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
KONFARA,KONFARA,Primary,Cox Business/BOI,500.0M x 50.0M,342.23,70.175.22.38,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
KSK00N,KSK00N,Primary,Spectrum,300.0M x 20.0M,207.45,150.220.245.70,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
