Site Name,Site ID,Circuit Purpose,DSR Provider,ARIN Provider,Notes Provider,Match Status,Match Score,Match Source,Match Reason,DSR Speed,DSR Cost
ALB 01,ALB 01,Primary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,200.0M x 200.0M,$105.00
ALB 01,ALB 01 -B,Secondary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$172.23
ALB 03,ALB 03,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$172.23
ALM 01,ALM 01,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$244.45
ALM 01,ALM 01 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
ALM 02,ALM 02,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$207.45
ALM 02,ALM 02 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
ALM 03,ALM 03,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,1000.0M x 50.0M,$355.56
ALM 03,ALM 03- B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 1000.0M,$165.01
ALM 04,ALM 04,Primary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 1000.0M,$165.01
ALM 04,ALM 04- B,Secondary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$172.23
ALN 01,ALN 01,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,300.0M x 30.0M,$175.56
ALN 02,ALN 02,Primary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
ALN 02,ALN 02 -B,Secondary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,300.0M x 30.0M,$186.18
ALS 01,ALS 01,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$172.23
ALS 01,ALS 01 -B,Secondary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,500.0M x 30.0M,$175.56
ALS 02,ALS 02,Primary,C Spire,C Spire Fiber,C Spire,Match,100,ARIN,Direct match with ARIN,1000.0M x 1000.0M,$349.00
ALS 02,ALS 02-B,Secondary,Brightspeed,CenturyLink,Brightspeed,Match,100,ARIN (mapped),Mapped match with ARIN,300.0M x 300.0M,$995.00
ARL 01,ARL 01,Primary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 1000.0M,$165.01
ARL 01,ARL 01- B,Secondary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,1250.0M x 35.0M,$282.23
ARL 02,ARL 02,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,300.0M x 30.0M,$186.18
ARL 02,ARL 02 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
ARL 03,ARL 03,Primary,Conway Corporation,Conway Corporation,Conway Corporation,Match,100,ARIN,Direct match with ARIN,500.0M x 50.0M,$154.95
ARL 03,ARL 03 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
ARL 04,ARL 04,Primary,Altice West,Optimum,Altice West,Match,100,ARIN (mapped),Mapped match with ARIN,300.0M x 30.0M,$151.12
ARL 04,ARL 04 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
ARL 05,ARL 05,Primary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 200.0M,$165.00
ARL 05,ARL 05- B,Secondary,Ritter Communications,Ritter Communications,Ritter Communications,Match,100,ARIN,Direct match with ARIN,250.0M x 250.0M,$194.99
ARL 06,ARL 06,Primary,Altice West,Optimum,Altice West,Match,100,ARIN (mapped),Mapped match with ARIN,300.0M x 30.0M,$151.12
ARL 06,ARL 06 - B,Secondary,Brightspeed,CenturyLink,Brightspeed,Match,100,ARIN (mapped),Mapped match with ARIN,100.0M x 100.0M,$666.00
ARO 01,ARO 01,Primary,Cox Business/BOI,Cox Communications,Cox Business BOI,Match,100,ARIN (mapped),Mapped match with ARIN,300.0M x 30.0M,$266.67
ARO 01,ARO 01 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
ARO 02,ARO 02,Primary,Cox Business/BOI,Cox Communications,Cox Business BOI,Match,100,ARIN (mapped),Mapped match with ARIN,300.0M x 30.0M,$266.67
ARO 02,ARO 02 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
ARO 03,ARO 03,Primary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,500.0M x 100.0M,$215.02
ARO 03,ARO 03 -B,Secondary,Cox Business/BOI,Cox Communications,Cox Business BOI,Match,100,ARIN (mapped),Mapped match with ARIN,300.0M x 30.0M,$266.67
ARO 04,ARO 04,Primary,Cox Business/BOI,Cox Communications,Cox Business BOI,Match,100,ARIN (mapped),Mapped match with ARIN,300.0M x 30.0M,$266.67
ARO 04,ARO 04 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
ARO 05,ARO 05,Primary,Yelcot Communications,YELCOT TELEPHONE COMPANY,Yelcot Communications,Match,100,ARIN (mapped),Mapped match with ARIN,300.0M x 30.0M,$225.00
ARO 05,ARO 05 -B,Secondary,Ritter Communications,Ritter Communications,Ritter Communications,Match,100,ARIN,Direct match with ARIN,250.0M x 250.0M,$199.99
ARO 06,ARO 06,Primary,AT&T Broadband II,AT&T,Cox Business BOI,Match,100,ARIN,Direct match with ARIN,1000.0M x 1000.0M,$165.01
ARO 06,ARO 06- B,Secondary,Cox Business/BOI,Cox Communications,AT&T Broadband II,Match,100,ARIN (mapped),Mapped match with ARIN,300.0M x 50.0M,$266.67
AZC 01,AZC 01,Primary,Cox Business/BOI,Cox Communications,Cox Business BOI,Match,100,ARIN (mapped),Mapped match with ARIN,300.0M x 30.0M,$266.67
AZF 01,AZF 01,Primary,CenturyLink Fiber Plus ,Cox Communications,CLink Fiber,Match,89,Notes (fuzzy),Fuzzy match with notes (89%),500.0M x 500.0M,$529.00
AZF 02,AZF 02,Primary,Altice West,Optimum,Altice West,Match,100,ARIN (mapped),Mapped match with ARIN,500.0M x 50.0M,$222.23
AZF 02,AZF 02 -B,Secondary,Lightpath ,Optimum,Altice West,Match,100,ARIN (mapped),Mapped match with ARIN,300.0M x 300.0M,$435.00
AZH 01,AZH 01,Primary,Altice West,Optimum,Optimum,Match,100,ARIN (mapped),Mapped match with ARIN,500.0M x 50.0M,$212.77
AZK 01,,Primary,Frontier,Frontier Communications,Frontier,Match,95,Notes,Direct match with notes,1.0G x 1.0G,$1200.00
