site_name,site_id,circuit_purpose,provider_name,speed,cost,matched_meraki_name,name_match_type,gets_badge,exclusion_reason,wan1_provider,wan2_provider,wan1_arin,wan2_arin,arin_could_help
CAL000,CAL000,Primary,Frontier FIOS,500.0M x 500.0M,59.99,,No match,No,1. No Meraki device,,,,,No
CAL000,CAL000 -B,Secondary,Spectrum,600.0M x 35.0M,172.23,,No match,No,1. No Meraki device,,,,,No
CALW01,CALW01,Primary,EB2-Frontier Fiber,1000.0M x 1000.0M,339.00,,No match,No,1. No Meraki device,,,,,No
CAN00,CAN00 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,,No match,No,1. No Meraki device,,,,,No
CAN00,CAN00,Primary,Comcast Workplace,250.0M x 25.0M,186.18,,No match,No,1. No Meraki device,,,,,No
CAS00,CAS00 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,,No match,No,1. No Meraki device,,,,,No
CAS00,CAS00,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,,No match,No,1. No Meraki device,,,,,No
COD00,COD00,Primary,Comcast Workplace,600.0M x 35.0M,234.45,,No match,No,1. No Meraki device,,,,,No
GAACALLCTR,GAACALLCTR,Primary,Spectrum,600.0M x 35.0M,244.45,,No match,No,1. No Meraki device,,,,,No
GAACALLCTR,GAACALLCTR -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,,No match,No,1. No Meraki device,,,,,No
ILC00,ILC00 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,,No match,No,1. No Meraki device,,,,,No
ILC00,ILC00,Primary,Comcast Workplace,300.0M x 30.0M,175.56,,No match,No,1. No Meraki device,,,,,No
ILR01,ILR01,Primary,Comcast Workplace,600.0M x 35.0M,234.45,,No match,No,1. No Meraki device,,,,,No
ILX 01,ILX 01,Primary,Comcast Workplace,250.0M x 25.0M,186.18,,No match,No,1. No Meraki device,,,,,No
INIW00,INIW00 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,,No match,No,1. No Meraki device,,,,,No
INIW00,INIW00,Primary,Comcast Workplace,250.0M x 25.0M,186.18,,No match,No,1. No Meraki device,,,,,No
KONFARA,KONFARA,Primary,Cox Business/BOI,500.0M x 50.0M,342.23,,No match,No,1. No Meraki device,,,,,No
KSK00N,KSK00N,Primary,Spectrum,300.0M x 20.0M,207.45,,No match,No,1. No Meraki device,,,,,No
KSK00N,KSK00N -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,,No match,No,1. No Meraki device,,,,,No
KYN 00,KYN 00,Primary,Cincinnati Bell,400.0M x 200.0M,84.99,,No match,No,1. No Meraki device,,,,,No
KYN 00,KYN 00 -B,Secondary,Spectrum,600.0M x 35.0M,172.23,,No match,No,1. No Meraki device,,,,,No
MIA00,MIA00,Primary,Comcast Workplace,600.0M x 35.0M,234.45,,No match,No,1. No Meraki device,,,,,No
MIHW00,MIHW00,Primary,Comcast Workplace,250.0M x 25.0M,186.18,,No match,No,1. No Meraki device,,,,,No
