hostname,ip_address,position,model,serial_number,port_location,vendor,notes
ALA-3130-Rack3-ENC3-A.dtc_phx.com,10.101.255.120,Chassis,WS-CBS3130X-S,FOC1420H01S,,Cisco,
,,Module,800-27645-02,FDO141815M2,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO14181F25,Switch 1 - Slot 2 - TwinGig Converter Module,,
ALA-3130-Rack3-ENC3-B.dtc_phx.com,10.101.255.121,Chassis,WS-CBS3130X-S,FOC1437H010,,Cisco,
,,Module,800-27645-02,FDO14340BUE,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO14340AJT,Switch 1 - Slot 2 - TwinGig Converter Module,,
AL-3130-R16-ENC1-B.dtc_phx.com,10.101.255.119,Chassis,WS-CBS3130X-S,FOC1420H012,,Cisco,
,,Module,800-27645-02,FDO141813Y8,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO141814P2,Switch 1 - Slot 2 - TwinGig Converter Module,,
AL-3130-R16-Enc1-A.dtc_phx.com,10.101.255.118,Chassis,WS-CBS3130X-S,FOC1437H012,,Cisco,
,,Module,800-27645-02,FDO14340A8H,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO14340AFL,Switch 1 - Slot 2 - TwinGig Converter Module,,
AL-3130-R3-ENC2-B.dtc_phx.com,10.101.255.117,Chassis,WS-CBS3130X-S,FOC1420H01Z,,Cisco,
,,Module,800-27645-02,FDO141816DL,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO141816MQ,Switch 1 - Slot 2 - TwinGig Converter Module,,
AL-3130-R3-ENC2-A.dtc_phx.com,10.101.255.115,Chassis,WS-CBS3130X-S,FOC1420H01R,,Cisco,
,,Module,800-27645-02,FDO14181E8Y,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO141800PJ,Switch 1 - Slot 2 - TwinGig Converter Module,,
MDF-3130-I9-StackA,10.0.255.51,Chassis,WS-CBS3130X-S-F,FOC1217H0FC,,Cisco,
,,FEX-1,WS-CBS3130X-S,FOC1414H06C,2,Cisco,
,,FEX-2,WS-CBS3130X-S-F,FOC1445H03L,3,Cisco,
,,Module,800-27645-01,FDO12120A23,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-01,FDO12120A7L,Switch 1 - Slot 2 - TwinGig Converter Module,,
