hostname,ip_address,position,model,serial_number,port_location,vendor,notes
2960-CX-Series-NOC.dtc_phx.com,10.0.255.10,Parent Switch,,,,Cisco,
,,Module,,"""""",,Cisco,WS-C2960CX-8PC-L - Fixed Module 0
AL-3130-R16-Enc1-A.dtc_phx.com,10.101.255.118,Parent Switch,,,,Cisco,
,,Module,,"""""",,Cisco,Switch 1 - WS-CBS3130X-S - Fixed Module 0
,,Module,,FDO14340A8H     ,,Cisco,TwinGig Converter Module
,,Module,,FDO14340AFL     ,,Cisco,TwinGig Converter Module
AL-3130-R16-ENC1-B.dtc_phx.com,10.101.255.119,Parent Switch,,,,Cisco,
,,Module,,"""""",,Cisco,Switch 1 - WS-CBS3130X-S - Fixed Module 0
,,Module,,FDO141813Y8     ,,Cisco,TwinGig Converter Module
,,Module,,FDO141814P2     ,,Cisco,TwinGig Converter Module
AL-3130-R3-ENC2-A.dtc_phx.com,10.101.255.115,Parent Switch,,,,Cisco,
,,Module,,"""""",,Cisco,Switch 1 - WS-CBS3130X-S - Fixed Module 0
,,Module,,FDO14181E8Y     ,,Cisco,TwinGig Converter Module
,,Module,,FDO141800PJ     ,,Cisco,TwinGig Converter Module
AL-3130-R3-ENC2-B.dtc_phx.com,10.101.255.117,Parent Switch,,,,Cisco,
,,Module,,"""""",,Cisco,Switch 1 - WS-CBS3130X-S - Fixed Module 0
,,Module,,FDO141816DL     ,,Cisco,TwinGig Converter Module
,,Module,,FDO141816MQ     ,,Cisco,TwinGig Converter Module
AL-5000-01,10.101.145.125,Parent Switch,,,,Cisco,
,,Module,SFP,JAF1417AFMD,,Cisco,20 port 10GE SFP+/Supervisor in Fixed Module-1
,,Module,N2K-C2248TP-1GE,JAF1415CKKF,,Cisco,"Fex-105 Fabric Extender Module: 48x1GE, 4x10GE in FixedModule-1"
,,Module,N2K-C2248TP-1GE,JAF1416BLFJ,,Cisco,"Fex-106 Fabric Extender Module: 48x1GE, 4x10GE in FixedModule-1"
AL-5000-02,10.101.145.126,Parent Switch,,,,Cisco,
,,Module,SFP,JAF1417DCKR,,Cisco,20 port 10GE SFP+/Supervisor in Fixed Module-1
,,Module,N2K-C2248TP-1GE,JAF1415CKKF,,Cisco,"Fex-105 Fabric Extender Module: 48x1GE, 4x10GE in FixedModule-1"
,,Module,N2K-C2248TP-1GE,JAF1416BLFJ,,Cisco,"Fex-106 Fabric Extender Module: 48x1GE, 4x10GE in FixedModule-1"
AL-7000-01-ADMIN,10.101.145.123,Parent Switch,,,,Cisco,
,,Module,,JAE191207AL,,Cisco,10/40 Gbps Ethernet Module
,,Module,,JAE19150EWX,,Cisco,Supervisor Module-2
,,Module,,JAE1914000P,,Cisco,Supervisor Module-2
,,Module,,JAE191208KP,,Cisco,10/40 Gbps Ethernet Module
,,Module,,JAE19100085,,Cisco,10/40 Gbps Ethernet Module
,,Module,,JAE1915099A,,Cisco,1/10 Gbps Ethernet Module
,,Module,,JAE191509BS,,Cisco,1/10 Gbps Ethernet Module
,,Module,,JAF1903ACJP,,Cisco,Fabric card module
,,Module,,JAF1903ACJH,,Cisco,Fabric card module
,,Module,,JAF1903ACNF,,Cisco,Fabric card module
,,Module,,JAF1903ACKC,,Cisco,Fabric card module
,,Module,,JAF1903ACPD,,Cisco,Fabric card module
,,Module,,"""""",,Cisco,module-1 FwdEngine-1
,,Module,,"""""",,Cisco,module-1 FwdEngine-2
