site,hostname,ip_address,position,model,serial_number,port_location,vendor,notes,end_of_sale,end_of_support
AZ-Scottsdale-HQ-Corp,2960-CX-Series-NOC.dtc_phx.com,10.0.255.10,Standalone,,,,Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,"""""",WS-C2960CX-8PC-L - Fixed Module 0,Cisco,,,
AZ-Scottsdale-HQ-Corp,AL-7000-02-CORE,10.0.184.20,Standalone,,,,Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,JAE191208KU,10/40 Gbps Ethernet Module,Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,JAE1915031M,Supervisor Module-2,Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,JAE1915032L,Supervisor Module-2,Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,JAE19100084,10/40 Gbps Ethernet Module,Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,JAE191208L7,10/40 Gbps Ethernet Module,Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,JAE191509AC,1/10 Gbps Ethernet Module,Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,JAE191509D6,1/10 Gbps Ethernet Module,Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,JAF1903ACEK,Fabric card module,Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,JAF1903ACGA,Fabric card module,Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,JAF1903ACKF,Fabric card module,Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,JAF1903ACFF,Fabric card module,Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,JAF1903ACFN,Fabric card module,Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,"""""",module-1 FwdEngine-1,Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,"""""",module-1 FwdEngine-2,Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,"""""",module-1 FwdEngine-3,Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,"""""",module-1 FwdEngine-4,Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,"""""",module-1 FwdEngine-5,Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,"""""",module-1 FwdEngine-6,Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,"""""",module-5 FwdEngine-1,Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,"""""",module-6 FwdEngine-1,Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,"""""",module-7 FwdEngine-1,Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,"""""",module-7 FwdEngine-2,Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,"""""",module-7 FwdEngine-3,Cisco,,,
