site,hostname,ip_address,position,model,serial_number,port_location,vendor,notes
AZ-Scottsdale-HQ-Corp,MDF-3130-I9-StackA,10.0.255.51,Master,WS-CBS3130X-S-F,FOC1217H0FC,,,
AZ-Scottsdale-HQ-Corp,,,Slave,WS-CBS3130X-S,FOC1414H06C,,,
AZ-Scottsdale-HQ-Corp,,,Slave,WS-CBS3130X-S-F,FOC1445H03L,,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-01,FDO12120A23,Switch 1 - Slot 1 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-01,FDO12120A7L,Switch 1 - Slot 2 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-02,FDO140403PA,Switch 2 - Slot 1 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-02,FDO1404072D,Switch 2 - Slot 2 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-02,FDO143319D1,Switch 3 - Slot 1 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-02,FDO14340B30,Switch 3 - Slot 2 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,MDF-3130-I9-StackB,10.0.255.52,Master,WS-CBS3130X-S,FOC1934Q01N,,,
AZ-Scottsdale-HQ-Corp,,,Slave,WS-CBS3130X-S-F,FOC1402H02Y,,,
AZ-Scottsdale-HQ-Corp,,,Slave,WS-CBS3130X-S,FOC1934Q012,,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-03,FDO18501G0E,Switch 1 - Slot 1 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-03,FDO18501G7N,Switch 1 - Slot 2 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-02,FDO134708SX,Switch 2 - Slot 1 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-02,FDO13430JEY,Switch 2 - Slot 2 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-03,FDO18471WB7,Switch 3 - Slot 1 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-03,FDO18471WBB,Switch 3 - Slot 2 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,MDF-3130-O3-ENC1-B,10.0.255.47,Standalone,WS-CBS3130X-S-F,FOC1216H09U,,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-02,FDO13180593,Switch 1 - Slot 1 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-02,FDO1318067T,Switch 1 - Slot 2 - TwinGig Converter Module,,
