Site Name,Site ID,Circuit Purpose,DSR Provider,DSR Provider (Normalized),ARIN Provider,ARIN Provider (Normalized),Match Status,Match Score,Match Reason,DSR Speed,DSR Cost,DSR IP,Matched WAN Port,WAN1 IP,WAN1 ARIN Provider,WAN2 IP,WAN2 ARIN Provider
ALB 01,ALB 01,Primary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,200.0M x 200.0M,$105.00,108.209.60.25,WAN1,108.209.60.25,AT&T,24.197.4.98,Charter Communications
ALB 01,ALB 01 -B,Secondary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$172.23,24.197.4.98,WAN2,108.209.60.25,AT&T,24.197.4.98,Charter Communications
ALB 03,ALB 03,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$172.23,66.190.127.170,WAN1,66.190.127.170,Charter Communications,166.168.184.98,Verizon
ALM 01,ALM 01,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$244.45,35.135.143.110,WAN1,35.135.143.110,Charter Communications,66.141.81.241,AT&T
ALM 01,ALM 01 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,$105.01,66.141.81.241,WAN2,35.135.143.110,Charter Communications,66.141.81.241,AT&T
ALM 02,ALM 02,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$207.45,156.19.135.26,WAN1,156.19.135.26,Charter Communications,104.52.182.129,AT&T
ALM 02,ALM 02 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,$105.01,104.52.182.129,WAN2,156.19.135.26,Charter Communications,104.52.182.129,AT&T
ALM 03,ALM 03,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,1000.0M x 50.0M,$355.56,156.19.130.22,WAN1,156.19.130.22,Charter Communications,75.6.50.193,AT&T
ALM 03,ALM 03- B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,1000.0M x 1000.0M,$165.01,75.6.50.193,WAN2,156.19.130.22,Charter Communications,75.6.50.193,AT&T
ALM 04,ALM 04,Primary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,1000.0M x 1000.0M,$165.01,76.242.168.129,WAN1,76.242.168.129,AT&T,24.197.80.118,Charter Communications
ALM 04,ALM 04- B,Secondary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$172.23,24.197.80.118,WAN2,76.242.168.129,AT&T,24.197.80.118,Charter Communications
ALN 01,ALN 01,Primary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,300.0M x 30.0M,$175.56,96.82.23.117,WAN1,96.82.23.117,Comcast,166.184.101.93,AT&T
ALN 02,ALN 02,Primary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,$105.01,162.199.104.113,WAN1,162.199.104.113,AT&T,70.90.225.177,Comcast
ALN 02,ALN 02 -B,Secondary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,300.0M x 30.0M,$186.18,70.90.225.177,WAN2,162.199.104.113,AT&T,70.90.225.177,Comcast
ALS 01,ALS 01,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$172.23,173.197.231.154,WAN1,173.197.231.154,Charter Communications,96.72.25.77,Comcast
ALS 01,ALS 01 -B,Secondary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,500.0M x 30.0M,$175.56,96.72.25.77,WAN2,173.197.231.154,Charter Communications,96.72.25.77,Comcast
ALS 02,ALS 02,Primary,C Spire,c spire,C Spire Fiber,c spire,Match,100,Direct normalized match,1000.0M x 1000.0M,$349.00,50.86.27.54,WAN1,50.86.27.54,C Spire Fiber,64.159.249.182,CenturyLink
ALS 02,ALS 02-B,Secondary,Brightspeed,brightspeed,CenturyLink,centurylink,No Match,29,"Low similarity (scores: 18, 29, 18)",300.0M x 300.0M,$995.00,64.159.249.182,WAN2,50.86.27.54,C Spire Fiber,64.159.249.182,CenturyLink
ARL 01,ARL 01,Primary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,1000.0M x 1000.0M,$165.01,107.129.220.41,WAN1,107.129.220.41,AT&T,50.214.80.29,Comcast
ARL 01,ARL 01- B,Secondary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,1250.0M x 35.0M,$282.23,50.214.80.29,WAN2,107.129.220.41,AT&T,50.214.80.29,Comcast
ARL 02,ARL 02,Primary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,300.0M x 30.0M,$186.18,50.214.80.229,WAN2,108.241.236.49,AT&T,50.214.80.229,Comcast
ARL 02,ARL 02 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,$105.01,108.241.236.49,WAN1,108.241.236.49,AT&T,50.214.80.229,Comcast
ARL 03,ARL 03,Primary,Conway Corporation,conway corporation,Conway Corporation,conway corporation,Match,95,Canonical match: Conway Corporation,500.0M x 50.0M,$154.95,24.144.4.162,WAN1,24.144.4.162,Conway Corporation,107.129.216.209,AT&T
ARL 03,ARL 03 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,$105.01,107.129.216.209,WAN2,24.144.4.162,Conway Corporation,107.129.216.209,AT&T
ARL 04,ARL 04,Primary,Altice West,altice west,Optimum,optimum,Match,95,Canonical match: Optimum,300.0M x 30.0M,$151.12,66.76.116.200,WAN1 (Provider Match),74.193.252.92,Optimum,108.241.237.49,AT&T
ARL 04,ARL 04 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,$105.01,108.241.237.49,WAN2,74.193.252.92,Optimum,108.241.237.49,AT&T
ARL 05,ARL 05,Primary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,1000.0M x 200.0M,$165.00,107.140.226.113,WAN1,107.140.226.113,AT&T,199.38.125.142,Ritter Communications
ARL 05,ARL 05- B,Secondary,Ritter Communications,ritter communications,Ritter Communications,ritter communications,Match,95,Canonical match: Ritter Communications,250.0M x 250.0M,$194.99,199.38.125.142,WAN2,107.140.226.113,AT&T,199.38.125.142,Ritter Communications
ARL 06,ARL 06,Primary,Altice West,altice west,Optimum,optimum,Match,95,Canonical match: Optimum,300.0M x 30.0M,$151.12,66.76.87.145,WAN2 (Provider Match),65.57.63.26,CenturyLink,74.194.6.150,Optimum
