Site Name,Site ID,Circuit Purpose,DSR Provider,ARIN Provider,Match Status,Match Score,DSR Speed,DSR Cost,Meraki Notes (Parsed),WAN1 Notes Provider,WAN1 Notes Speed,WAN2 Notes Provider,WAN2 Notes Speed,DSR IP,Matched WAN Port,WAN1 IP,WAN1 ARIN Provider,WAN2 IP,WAN2 ARIN Provider
ALS 02,ALS 02-B,Secondary,Brightspeed,CenturyLink,No Match,29,300.0M x 300.0M,$995.00,WAN 1 | C Spire | 1G x 1G | WAN 2 | Brightspeed | 300M x 300M,C Spire,1000.0M x 1000.0M,Brightspeed,300.0M x 300.0M,64.159.249.182,WAN2,50.86.27.54,C Spire Fiber,64.159.249.182,CenturyLink
ARL 06,ARL 06 - B,Secondary,Brightspeed,CenturyLink,No Match,29,100.0M x 100.0M,$666.00,WAN 1 | Brightspeed | 100.0M x 100.0M | WAN 2 | Altice West | 300.0M x 30.0M,Brightspeed,100.0M x 100.0M,Altice West,300.0M x 30.0M,65.57.63.26,WAN1,65.57.63.26,CenturyLink,74.194.6.150,Optimum
AZF 01,AZF 01,Primary,CenturyLink Fiber Plus ,Cox Communications,No Match,45,500.0M x 500.0M,$529.00,WAN 1 | DSR CLink Fiber | 500.0M x 500.0M | WAN 2 | Unknown,CLink Fiber,500.0M x 500.0M,Unknown,,72.166.76.98,WAN1,72.166.76.98,Cox Communications,107.84.140.146,AT&T
AZF 02,AZF 02 -B,Secondary,Lightpath ,Optimum,No Match,36,300.0M x 300.0M,$435.00,WAN 1 | Altice West | 500.0M x 50.0M | WAN 2 | Lightpath | 300.0M x 300.0M,Altice West,500.0M x 50.0M,Lightpath,300.0M x 300.0M,207.192.240.178,WAN1,207.192.240.178,Optimum,24.121.190.245,Optimum
AZN 03,AZN 03,Primary,Sparklight,"Cable One, Inc.",No Match,30,300.0M x 30.0M,$248.75,WAN 1 | Sparklight | 300.0M x 30.0M | WAN 2 | Digi | Cell,Sparklight,300.0M x 30.0M,Digi Cell,,67.60.206.6,WAN1,67.60.206.6,"Cable One, Inc.",166.180.159.139,Verizon
AZN 05,AZN 05,Primary,TransWorld,FAIRNET LLC,No Match,33,500.0M x 500.0M,$300.00,WAN 1 | TransWorld | 500.0M x 500.0M | WAN 2 | VZW Cell | Cell,TransWorld,500.0M x 500.0M,VZW Cell Cell,,69.171.123.138,WAN1,69.171.123.138,FAIRNET LLC,166.253.101.74,Verizon
AZN 06,AZN 06,Primary,Sparklight,"Cable One, Inc.",No Match,30,300.0M x 30.0M,$224.29,WAN 1 | Sparklight | 300.0M x 30.0M | WAN 2 | Verizon Business,Sparklight,300.0M x 30.0M,Verizon Business,,159.118.232.190,WAN1,159.118.232.190,"Cable One, Inc.",166.248.7.248,Verizon
AZP 00,AZP000,Primary,Cox Business/BOI,,No Match,0,500.0M x 35.0M,$387.24,,,,,,174.71.173.226,Unknown,,,,
AZP 09,AZP 09- B,Secondary,EB2-Lumen DSL,CenturyLink,No Match,33,100.0M x 10.0M,$128.00,WAN 1 | Cox Business BOI | 300.0M x 30.0M | WAN 2 | EB2-Lumen DSL | 100.0M x 10.0M,Cox Business BOI,300.0M x 30.0M,EB2-Lumen DSL,100.0M x 10.0M,67.40.64.233,WAN2,24.250.98.131,Cox Communications,67.40.64.233,CenturyLink
AZP 22,AZP 22- B,Secondary,EB2-Centurylink DSL,"Ocotillo Technologies, Inc.",No Match,40,100.0M x 10.0M,$128.00,WAN 1 | Cox Business/BOI | 300.0M x 30.0M | WAN 2 | EB2-Centurylink DSL | 100.0M x 10.0M,Cox Business BOI,300.0M x 30.0M,EB2-Centurylink DSL,100.0M x 10.0M,65.103.195.225,WAN2,70.177.10.244,Cox Communications,65.103.195.225,"Ocotillo Technologies, Inc."
AZP 29,AZP 29- B,Secondary,EB2-Lumen DSL,CenturyLink,No Match,33,140.0M x 20.0M,$151.00,WAN 1 | Cox Business/BOI | 300.0M x 30.0M | WAN 2 | EB2-Lumen DSL | 140.0M x 20.0M,Cox Business BOI,300.0M x 30.0M,EB2-Lumen DSL,140.0M x 20.0M,67.40.65.73,WAN2,184.187.210.108,Cox Communications,67.40.65.73,CenturyLink
AZP 36,AZP 36,Primary,Wyyerd Fiber,"SpaceX Services, Inc.",No Match,33,2000.0M x 2000.0M,$750.00,WAN 1 | Wyyerd Fiber | 2000.0M x 2000.0M | WAN 2 | Starlink | Satellite,Wyyerd Fiber,2000.0M x 2000.0M,Starlink Satellite,,NaN,Unknown,38.77.163.7,ZONA COMMUNICATIONS,143.105.158.113,"SpaceX Services, Inc."
AZT 12,AZT 12,Secondary,Lumen Qwest,Cox Communications,No Match,31,100.0M x 10.0M,$139.99,WAN 1 | Cox Business BOI | 300.0M x 30.0M | WAN 2 | Lumen Qwest | 100.0M x 10.0M,Cox Business BOI,300.0M x 30.0M,Lumen Qwest,100.0M x 10.0M,63.227.80.161,Unknown,98.164.141.100,Cox Communications,63.227.80.166,Micro Import Service
AZT 13,AZT 13,Secondary,GTT/ESA2 ADSL,CenturyLink,No Match,19,60.0M x 5.0M,$192.56,WAN 1 | Cox Business BOI | 300.0M x 30.0M | WAN 2 | GTT ESA2 ADSL | 60.0M x 5.0M,Cox Business BOI,300.0M x 30.0M,GTT ESA2 ADSL,60.0M x 5.0M,67.41.31.9,WAN2,68.98.221.146,Cox Communications,67.41.31.9,CenturyLink
AZY 02,AZY 02- B,Secondary,Allo Communications,Customer Static IP Range at YUM02,No Match,36,1000.0M x 1000.0M,$264.00,WAN 1 | Allo Communications | 1000.0M x 1000.0M | WAN 2 | Spectrum | 750.0M x 35.0M,Allo Communications,1000.0M x 1000.0M,Spectrum,750.0M x 35.0M,170.64.15.200,WAN1,170.64.15.200,Customer Static IP Range at YUM02,76.79.115.26,Charter Communications
CAL000,CAL000,Primary,Frontier FIOS,,No Match,0,500.0M x 500.0M,$59.99,,,,,,47.180.93.139,Unknown,,,,
CAL000,CAL000 -B,Secondary,Spectrum,,No Match,0,750.0M x 35.0M,$172.23,,,,,,98.152.193.10,Unknown,,,,
CAL 03,CAL 03,Primary,GTT Ethernet,Frontier Communications,No Match,35,200.0M x 200.0M,$177.66,WAN 1 | GTT Ethernet | 200.0M x 200.0M | WAN 2 | AT&T Cell | Cell,GTT Ethernet,200.0M x 200.0M,AT&T Cell Cell,,47.180.197.231,WAN1,47.180.197.231,Frontier Communications,107.84.131.50,AT&T
CAL 14,CAL 14,Primary,One Ring Networks,"Skyriver Communications, Inc.",No Match,42,300.0M x 30.0M,$950.00,WAN 1 | DSR One Ring Networks | Fixed Wireless | | 20.0M x 5.0M | WAN 2 | Digi | Cell,One Ring Networks | Fixed Wireless |,20.0M x 5.0M,Digi Cell,,72.34.90.78,WAN1,72.34.90.78,"Skyriver Communications, Inc.",166.184.134.74,AT&T
CAL 29,,Primary,Frontier,Verizon,No Match,55,500.0M x 500.0M,$830.00,WAN 1 | Frontier | 500.0M x 500.0M | WAN 2 | VZW Cell | Cell,Frontier,500.0M x 500.0M,VZW Cell Cell,,,Unknown,12.3.118.66,AT&T,166.154.40.59,Verizon
CAL 47,CAL 47,Primary,One Ring Networks ,"Skyriver Communications, Inc.",No Match,42,300.0M x 30.0M,$950.00,WAN 1 | EB2-Frontier Fiber | 500.0M x 500.0M | WAN 2 | One Ring Networks | 300.0M x 30.0M,EB2-Frontier Fiber,500.0M x 500.0M,One Ring Networks,300.0M x 30.0M,72.34.92.210,WAN2,47.181.223.18,Frontier Communications,72.34.92.210,"Skyriver Communications, Inc."
