site_name,interface,ip_address,provider_name,ip_assignment_status,circuit_type
ALB 01,WAN1,108.209.60.25,AT&T Broadband II,static,DSR
ALB 01,WAN2,24.197.4.98,Spectrum,static,DSR
ALB 03,WAN1,66.190.127.170,Spectrum,static,DSR
ALM 01,WAN1,35.135.143.110,Spectrum,static,DSR
ALM 01,WAN2,66.141.81.241,AT&T Broadband II,static,DSR
ALM 02,WAN1,156.19.135.26,Spectrum,static,DSR
ALM 03,WAN1,156.19.130.22,Spectrum,static,DSR
ALM 03,WAN2,75.6.50.193,AT&T Broadband II,static,DSR
ALM 04,WAN1,76.242.168.129,AT&T Broadband II,static,DSR
ALM 04,WAN2,24.197.80.118,Spectrum,static,DSR
ALN 01,WAN1,96.82.23.117,Comcast Workplace,static,DSR
ALN 02,WAN1,162.199.104.113,AT&T Broadband II,static,DSR
ALN 02,WAN2,70.90.225.177,Comcast Workplace,static,DSR
ALS 01,WAN1,173.197.231.154,Spectrum,static,DSR
ALS 01,WAN2,96.72.25.77,Comcast Workplace,static,DSR
ALS 02,WAN1,50.86.27.54,C Spire,static,DSR
ALS 02,WAN2,64.159.249.182,Brightspeed,static,DSR
ARL 01,WAN1,107.129.220.41,AT&T Broadband II,static,DSR
ARL 01,WAN2,50.214.80.29,Comcast Workplace,static,DSR
ARL 02,WAN1,108.241.236.49,AT&T Broadband II,static,DSR
ARL 02,WAN2,50.214.80.229,Comcast Workplace,static,DSR
ARL 03,WAN1,24.144.4.162,Conway Corporation,static,DSR
ARL 03,WAN2,107.129.216.209,AT&T Broadband II,static,DSR
ARL 04,WAN2,108.241.237.49,AT&T Broadband II,static,DSR
ARL 05,WAN1,107.140.226.113,AT&T Broadband II,static,DSR
ARL 05,WAN2,199.38.125.142,Ritter Communications,static,DSR
ARL 06,WAN1,65.57.63.26,Brightspeed,static,DSR
ARO 01,WAN1,108.252.38.25,AT&T Broadband II,static,DSR
ARO 01,WAN2,174.76.168.174,Cox Business/BOI,static,DSR
ARO 02,WAN1,104.3.166.57,AT&T Broadband II,static,DSR
ARO 02,WAN2,98.187.167.3,Cox Business/BOI,static,DSR
ARO 03,WAN1,104.3.161.209,AT&T Broadband II,static,DSR
ARO 03,WAN2,72.196.88.47,Cox Business/BOI,static,DSR
ARO 04,WAN1,98.187.167.138,Cox Business/BOI,static,DSR
ARO 04,WAN2,99.3.51.41,AT&T Broadband II,static,DSR
ARO 05,WAN1,207.66.103.214,Yelcot Communications,static,DSR
ARO 05,WAN2,69.195.29.6,Ritter Communications,static,DSR
AZC 01,WAN1,68.15.189.118,Cox Business/BOI,static,DSR
AZF 01,WAN1,72.166.76.98,DSR CLink Fiber,static,Non-DSR
AZF 02,WAN1,207.192.240.178,Altice West,static,DSR
AZH 01,WAN1,24.121.227.61,Optimum,static,Non-DSR
AZK 01,WAN1,104.235.17.254,Frontier,static,DSR
AZN 02,WAN1,24.117.65.74,"CABLE ONE, INC.",static,Non-DSR
AZN 03,WAN1,67.60.206.6,Sparklight,static,DSR
AZN 04,WAN1,12.39.141.194,Frontier,static,Non-DSR
AZN 05,WAN1,69.171.123.138,TransWorld,static,DSR
AZN 06,WAN1,159.118.232.190,Sparklight,static,DSR
AZP 01,WAN1,24.250.126.75,Cox Business/BOI,static,DSR
AZP 03,WAN1,98.190.154.148,Cox Business BOI,static,Non-DSR
AZP 05,WAN1,72.216.209.162,Cox Business/BOI,static,DSR
AZP 05,WAN2,98.97.188.165,Starlink,static,Non-DSR
AZP 07,WAN1,184.186.205.106,Cox Business/BOI,static,DSR
AZP 08,WAN1,68.15.185.94,Cox Business/BOI,static,DSR
AZP 09,WAN1,24.250.98.131,Cox Business/BOI,static,DSR
AZP 09,WAN2,67.40.64.233,EB2-Lumen DSL,static,DSR
AZP 10,WAN1,98.174.224.236,Cox Communications,static,Non-DSR
AZP 11,WAN1,98.172.73.114,Cox Business/BOI,static,DSR
AZP 13,WAN1,184.183.11.229,Cox Communications,static,Non-DSR
AZP 14,WAN1,70.175.28.153,Cox Communications,static,Non-DSR
AZP 17,WAN1,24.248.0.187,Cox Business/BOI,static,DSR
AZP 18,WAN1,184.181.22.14,Cox Business/BOI,static,DSR
AZP 18,WAN2,67.40.67.153,EB2-CenturyLink DSL,static,DSR
