Site,Provider Type,Device Notes Provider,ARIN Provider,Speed,Issue,Recommendation
"GAA 46","WAN1","Mediacom/BOI","","","Has circuits but no match","Fuzzy match or mapping needed: AT&T Broadband II (Primary); Mediacom/BOI (Secondary)"
"GAA 46","WAN2","AT&T Broadband II","","","Has circuits but no match","Fuzzy match or mapping needed: AT&T Broadband II (Primary); Mediacom/BOI (Secondary)"
"LAB 03","WAN1",": AT&T Broadband II","","","Has circuits but no match","Fuzzy match or mapping needed: Cox Business/BOI (Primary); AT&T Broadband II (Secondary)"
"LAB 03","WAN2",": Cox Business/BOI","","","Has circuits but no match","Fuzzy match or mapping needed: Cox Business/BOI (Primary); AT&T Broadband II (Secondary)"
"MIP 01","WAN1","Winn Telecom","","","Has circuits but no match","Fuzzy match or mapping needed: Spectrum (Primary); Winn Telecom (Secondary)"
"MIP 01","WAN2","Spectrum","","","Has circuits but no match","Fuzzy match or mapping needed: Spectrum (Primary); Winn Telecom (Secondary)"
"MOS 12","WAN1","Private Customer - AT&T Internet Services","","","Has circuits but no match","Fuzzy match or mapping needed: Spectrum (Primary); AT&T Broadband II (Secondary)"
"MOS 12","WAN2","Spectrum","","","Has circuits but no match","Fuzzy match or mapping needed: Spectrum (Primary); AT&T Broadband II (Secondary)"
"NCC 46","WAN1","Windstream","","","Has circuits but no match","Fuzzy match or mapping needed: Spectrum (Primary); Windstream (Secondary)"
"NCC 46","WAN2","Spectrum","","","Has circuits but no match","Fuzzy match or mapping needed: Spectrum (Primary); Windstream (Secondary)"
"NCC 48","WAN1","Brightspeed","","","Has circuits but no match","Fuzzy match or mapping needed: VZW Cell (Secondary)"
"NEL 01","WAN1","Allo Communications","","","Has circuits but no match","Fuzzy match or mapping needed: Spectrum (Primary); Allo Communications (Secondary)"
"NEL 01","WAN2","Spectrum","","","Has circuits but no match","Fuzzy match or mapping needed: Spectrum (Primary); Allo Communications (Secondary)"
"TXA 24","WAN1","Spectrum","","","Has circuits but no match","Fuzzy match or mapping needed: Spectrum (Secondary)"
"TXG 02","WAN1","Consolidated Communications","","","Has circuits but no match","Fuzzy match or mapping needed: VZW Cell (Secondary)"
"TXS 31","WAN1","AT&T Broadband II","","","Has circuits but no match","Fuzzy match or mapping needed: Spectrum (Primary); AT&T Broadband II (Secondary)"
"TXS 31","WAN2","Spectrum","","","Has circuits but no match","Fuzzy match or mapping needed: Spectrum (Primary); AT&T Broadband II (Secondary)"
