site_name,site_id,circuit_purpose,dsr_provider,dsr_speed,dsr_cost,dsr_ip,meraki_wan1_provider,wan1_ip,wan1_arin_provider,meraki_wan2_provider,wan2_ip,wan2_arin_provider,current_match,normalized_dsr_provider,normalized_wan1_arin,normalized_wan2_arin,wan1_arin_matches_dsr,wan2_arin_matches_dsr
ALB 01,ALB 01,Primary,AT&T Broadband II,200.0M x 200.0M,105.00,108.209.60.25,AT&T Broadband II,108.209.60.25,AT&T,Spectrum,24.197.4.98,Charter Communications,WAN1,at&t,at&t,spectrum,Yes,No
ALB 01,ALB 01 -B,Secondary,Spectrum,600.0M x 35.0M,172.23,24.197.4.98,AT&T Broadband II,108.209.60.25,AT&T,Spectrum,24.197.4.98,Charter Communications,WAN2,spectrum,at&t,spectrum,No,Yes
ALB 03,ALB 03,Primary,Spectrum,600.0M x 35.0M,172.23,66.190.127.170,Spectrum,66.190.127.170,Charter Communications,VZW Cell,192.168.0.151,Private IP,WAN1,spectrum,spectrum,private,Yes,No
ALM 01,ALM 01,Primary,Spectrum,600.0M x 35.0M,244.45,35.135.143.110,Spectrum,35.135.143.110,Charter Communications,AT&T Broadband II,66.141.81.241,AT&T,WAN1,spectrum,spectrum,at&t,Yes,No
ALM 01,ALM 01 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,66.141.81.241,Spectrum,35.135.143.110,Charter Communications,AT&T Broadband II,66.141.81.241,AT&T,WAN2,at&t,spectrum,at&t,No,Yes
ALM 02,ALM 02,Primary,Spectrum,300.0M x 20.0M,207.45,156.19.135.26,Spectrum,156.19.135.26,Charter Communications,AT&T Broadband II,104.52.182.129,AT&T,WAN1,spectrum,spectrum,at&t,Yes,No
ALM 02,ALM 02 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,104.52.182.129,Spectrum,156.19.135.26,Charter Communications,AT&T Broadband II,104.52.182.129,AT&T,WAN2,at&t,spectrum,at&t,No,Yes
ALM 03,ALM 03,Primary,Spectrum,940.0M x 35.0M,355.56,156.19.130.22,Spectrum,156.19.130.22,Charter Communications,AT&T Broadband II,75.6.50.193,AT&T,WAN1,spectrum,spectrum,at&t,Yes,No
ALM 03,ALM 03- B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,75.6.50.193,Spectrum,156.19.130.22,Charter Communications,AT&T Broadband II,75.6.50.193,AT&T,WAN2,at&t,spectrum,at&t,No,Yes
ALM 04,ALM 04,Primary,AT&T Broadband II,1000.0M x 1000.0M,165.01,76.242.168.129,AT&T Broadband II,76.242.168.129,AT&T,Spectrum,24.197.80.118,Charter Communications,WAN1,at&t,at&t,spectrum,Yes,No
ALM 04,ALM 04- B,Secondary,Spectrum,600.0M x 35.0M,172.23,24.197.80.118,AT&T Broadband II,76.242.168.129,AT&T,Spectrum,24.197.80.118,Charter Communications,WAN2,spectrum,at&t,spectrum,No,Yes
ALN 01,ALN 01,Primary,Comcast Workplace,300.0M x 30.0M,175.56,96.82.23.117,Comcast Workplace,96.82.23.117,Comcast,Digi,192.168.2.118,Private IP,WAN1,comcast,comcast,private,Yes,No
