hostname,ip_address,device_family,system_description
aladasa06a,10.101.255.35,Arista,SNMPv2-MIB::sysDescr.0 = STRING: Arista Networks EOS version 4.27.5M running on an Arista Networks DCS-7050SX3-48YC8
aladasa06b,10.101.255.36,Arista,SNMPv2-MIB::sysDescr.0 = STRING: Arista Networks EOS version 4.27.5M running on an Arista Networks DCS-7050SX3-48YC8
aladasa08a,10.101.255.37,Arista,SNMPv2-MIB::sysDescr.0 = STRING: Arista Networks EOS version 4.27.5M running on an Arista Networks DCS-7050SX3-48YC8
aladasa08b,10.101.255.38,Arista,SNMPv2-MIB::sysDescr.0 = STRING: Arista Networks EOS version 4.27.5M running on an Arista Networks DCS-7050SX3-48YC8
cordaso12a,10.0.255.115,Arista,SNMPv2-MIB::sysDescr.0 = STRING: Arista Networks EOS version 4.27.5M running on an Arista Networks DCS-7050SX3-48YC8
cordaso12b,10.0.255.116,Arista,SNMPv2-MIB::sysDescr.0 = STRING: Arista Networks EOS version 4.27.5M running on an Arista Networks DCS-7050SX3-48YC8
cordasq12a,10.0.255.117,Arista,SNMPv2-MIB::sysDescr.0 = STRING: Arista Networks EOS version 4.27.5M running on an Arista Networks DCS-7050SX3-48YC8
cordasq12b,10.0.255.118,Arista,SNMPv2-MIB::sysDescr.0 = STRING: Arista Networks EOS version 4.27.5M running on an Arista Networks DCS-7050SX3-48YC8
IDF1A-4510.trtc.com,10.0.255.121,Cisco Catalyst,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Thu"
IDF1B-4510-SW1.trtc.com,10.0.255.123,Cisco Catalyst,"SNMPv2-MIB::sysDescr.0 = STRING: Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Thu"
