Site Name,Circuit Purpose,Status,IP Address,Circuits Table Provider,Circuits Table Speed,Enriched Network Name,Enriched Provider,Enriched Speed,DSR Provider,DSR Speed,Has Meraki Notes,Notes Preview
ALB 01,Primary,Enabled/Disconnected,,AT&T Broadband II,,ALB 01,AT&T Broadband II,200.0M x 200.0M,AT&T Broadband II,200.0M x 200.0M,Yes,"WAN 1
AT&T Broadband II
200M x 200M
WAN 2
Spectrum
750M x 35M..."
ALB 01,Primary,Order Canceled,,AT&T Broadband,,ALB 01,AT&T Broadband II,200.0M x 200.0M,AT&T Broadband II,200.0M x 200.0M,Yes,"WAN 1
AT&T Broadband II
200M x 200M
WAN 2
Spectrum
750M x 35M..."
ALB 01,Primary,Order Canceled,,AT&T Broadband,,ALB 01,AT&T Broadband II,200.0M x 200.0M,AT&T Broadband II,200.0M x 200.0M,Yes,"WAN 1
AT&T Broadband II
200M x 200M
WAN 2
Spectrum
750M x 35M..."
ALB 01,Primary,Enabled,108.209.60.25,AT&T Broadband II,200.0M x 200.0M,ALB 01,AT&T Broadband II,200.0M x 200.0M,AT&T Broadband II,200.0M x 200.0M,Yes,"WAN 1
AT&T Broadband II
200M x 200M
WAN 2
Spectrum
750M x 35M..."
ALB 01,Secondary,Enabled,24.197.4.98,Spectrum,750.0M x 35.0M,ALB 01,Spectrum,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
AT&T Broadband II
200M x 200M
WAN 2
Spectrum
750M x 35M..."
ALB 03,Primary,Enabled,66.190.127.170,Spectrum,750.0M x 35.0M,ALB 03,Spectrum,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
Spectrum
750M x 35M
WAN 2
VZW Cell
Cell..."
ALB 03,Secondary,Order Canceled,NaN,NaN,,ALB 03,VZW Cell,Cell,,,Yes,"WAN 1
Spectrum
750M x 35M
WAN 2
VZW Cell
Cell..."
ALM 01,Primary,Enabled,35.135.143.110,Spectrum,750.0M x 35.0M,ALM 01,Spectrum,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
Spectrum
750M x 35M
WAN 2
AT&T Broadband II
300M x 300M..."
ALM 01,Secondary,Enabled,66.141.81.241,AT&T Broadband II,300.0M x 300.0M,ALM 01,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
Spectrum
750M x 35M
WAN 2
AT&T Broadband II
300M x 300M..."
ALM 02,Primary,Enabled,156.19.135.26,Spectrum,750.0M x 35.0M,ALM 02,Spectrum,300.0M x 20.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
Spectrum
750M x 35M
WAN 2
AT&T Broadband II
300M x 300M..."
ALM 02,Secondary,Enabled,104.52.182.129,AT&T Broadband II,300.0M x 300.0M,ALM 02,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
Spectrum
750M x 35M
WAN 2
AT&T Broadband II
300M x 300M..."
ALM 03,Primary,Enabled,156.19.130.22,Spectrum,1000.0M x 50.0M,ALM 03,Spectrum,940.0M x 35.0M,Spectrum,1000.0M x 50.0M,Yes,"WAN 1
Spectrum
1G x 50M
WAN 2
AT&T Broadband II
1G x 1G..."
ALM 03,Secondary,Enabled,75.6.50.193,AT&T Broadband II,1000.0M x 1000.0M,ALM 03,AT&T Broadband II,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
Spectrum
1G x 50M
WAN 2
AT&T Broadband II
1G x 1G..."
ALM 04,Primary,Enabled,76.242.168.129,AT&T Broadband II,1000.0M x 1000.0M,ALM 04,AT&T Broadband II,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1G x 1G
WAN 2
Spectrum
750M x 35M..."
ALM 04,Secondary,Enabled,24.197.80.118,Spectrum,750.0M x 35.0M,ALM 04,Spectrum,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
AT&T Broadband II
1G x 1G
WAN 2
Spectrum
750M x 35M..."
ALN 01,Primary,Enabled,96.82.23.117,Comcast Workplace,300.0M x 30.0M,ALN 01,Comcast Workplace,300.0M x 30.0M,Comcast Workplace,300.0M x 30.0M,Yes,"WAN 1
Comcast Workplace
300M x 30M
WAN 2
Digi
Cell..."
ALN 01,Secondary,Order Canceled,NaN,WideOpenWest,600.0M x 50.0M,ALN 01,Digi,Cell,,,Yes,"WAN 1
Comcast Workplace
300M x 30M
WAN 2
Digi
Cell..."
ALN 02,Primary,Enabled,162.199.104.113,AT&T Broadband II,300.0M x 300.0M,ALN 02,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
AT&T Broadband II
300M x 300M
WAN 2
Comcast Workplace
300M x 30M..."
ALN 02,Secondary,Enabled,70.90.225.177,Comcast Workplace,300.0M x 30.0M,ALN 02,Comcast Workplace,250.0M x 25.0M,Comcast Workplace,300.0M x 30.0M,Yes,"WAN 1
AT&T Broadband II
300M x 300M
WAN 2
Comcast Workplace
300M x 30M..."
ALS 01,Primary,Enabled,173.197.231.154,Spectrum,750.0M x 35.0M,ALS 01,Spectrum,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
Spectrum
750M x 35M
WAN 2
Comcast Workplace
500M x 30M..."
ALS 01,Secondary,Enabled,96.72.25.77,Comcast Workplace,500.0M x 30.0M,ALS 01,Comcast Workplace,300.0M x 30.0M,Comcast Workplace,500.0M x 30.0M,Yes,"WAN 1
Spectrum
750M x 35M
WAN 2
Comcast Workplace
500M x 30M..."
ALS 02,Primary,Enabled,50.86.27.54,C Spire,1000.0M x 1000.0M,ALS 02,C Spire,1000.0M x 1000.0M,C Spire,1000.0M x 1000.0M,Yes,"WAN 1
C Spire
1G x 1G
WAN 2
Brightspeed
300M x 300M..."
ALS 02,Secondary,Enabled,64.159.249.182,Brightspeed,300.0M x 300.0M,ALS 02,Brightspeed,300.0M x 300.0M,Brightspeed,300.0M x 300.0M,Yes,"WAN 1
C Spire
1G x 1G
WAN 2
Brightspeed
300M x 300M..."
ARL 01,Primary,Enabled,107.129.220.41,AT&T Broadband II,1000.0M x 1000.0M,ARL 01,AT&T Broadband II,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1G x 1G
WAN 2
Comcast Workplace
1.2G x 35M..."
ARL 01,Secondary,Enabled,50.214.80.29,Comcast Workplace,1250.0M x 35.0M,ARL 01,Comcast Workplace,1000.0M x 35.0M,Comcast Workplace,1250.0M x 35.0M,Yes,"WAN 1
AT&T Broadband II
1G x 1G
WAN 2
Comcast Workplace
1.2G x 35M..."
ARL 02,Primary,Enabled,50.214.80.229,Comcast Workplace,300.0M x 30.0M,ARL 02,AT&T Broadband II,250.0M x 25.0M,Comcast Workplace,300.0M x 30.0M,Yes,"WAN 1
AT&T Broadband II
300M x 300M
WAN 2
Comcast Workplace
300M x 30M..."
ARL 02,Secondary,Enabled,108.241.236.49,AT&T Broadband II,300.0M x 300.0M,ARL 02,Comcast Workplace,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
AT&T Broadband II
300M x 300M
WAN 2
Comcast Workplace
300M x 30M..."
ARL 03,Primary,Enabled,24.144.4.162,Conway Corporation,500.0M x 50.0M,ARL 03,Conway Corporation,500.0M x 50.0M,Conway Corporation,500.0M x 50.0M,Yes,"WAN 1
Conway Corporation
500M x 50M
WAN 2
AT&T Broadband II
300M x 300M..."
ARL 03,Secondary,Enabled,107.129.216.209,AT&T Broadband II,300.0M x 300.0M,ARL 03,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
Conway Corporation
500M x 50M
WAN 2
AT&T Broadband II
300M x 300M..."
ARL 04,Primary,Enabled,66.76.116.200,Altice West,300.0M x 30.0M,ARL 04,Altice West,300.0M x 30.0M,Altice West,300.0M x 30.0M,Yes,"WAN 1
Altice West
300.0M x 30.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
ARL 04,Secondary,Enabled,108.241.237.49,AT&T Broadband II,300.0M x 300.0M,ARL 04,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
Altice West
300.0M x 30.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
ARL 05,Primary,Enabled,107.140.226.113,AT&T Broadband II,1000.0M x 200.0M,ARL 05,AT&T Broadband II,1000.0M x 200.0M,AT&T Broadband II,1000.0M x 200.0M,Yes,"WAN 1
AT&T Broadband II
1G x 200M
WAN 2
Ritter Communications
250M x 250M..."
ARL 05,Secondary,Enabled,199.38.125.142,Ritter Communications,250.0M x 250.0M,ARL 05,Ritter Communications,250.0M x 250.0M,Ritter Communications,250.0M x 250.0M,Yes,"WAN 1
AT&T Broadband II
1G x 200M
WAN 2
Ritter Communications
250M x 250M..."
ARL 06,Primary,Enabled,66.76.87.145,Altice West,300.0M x 30.0M,ARL 06,Brightspeed,300.0M x 30.0M,Altice West,300.0M x 30.0M,Yes,"WAN 1
Brightspeed
100.0M x 100.0M
WAN 2
Altice West
300.0M x 30.0M..."
ARL 06,Secondary,Enabled,65.57.63.26,Brightspeed,100.0M x 100.0M,ARL 06,Altice West,100.0M x 100.0M,Brightspeed,100.0M x 100.0M,Yes,"WAN 1
Brightspeed
100.0M x 100.0M
WAN 2
Altice West
300.0M x 30.0M..."
ARO 01,Primary,Enabled,174.76.168.174,Cox Business/BOI,300.0M x 30.0M,ARO 01,AT&T Broadband II,300.0M x 30.0M,Cox Business/BOI,300.0M x 30.0M,Yes,"WAN 1
AT&T Broadband II
300.0M x 300.0M
WAN 2
Cox Business/BOI
300.0M x 30.0M..."
ARO 01,Secondary,Enabled,108.252.38.25,AT&T Broadband II,300.0M x 300.0M,ARO 01,Cox Business/BOI,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
AT&T Broadband II
300.0M x 300.0M
WAN 2
Cox Business/BOI
300.0M x 30.0M..."
