site_name,record_number,circuit_purpose,provider_name,details_service_speed,status,manual_override,data_source
ALB 01,DISCOUNTALB2057614668_BR,Primary,AT&T Broadband II,200.0M x 200.0M,Enabled,False,csv_import
ALB 01,DISCOUNTALB4387863656_BR,Secondary,Spectrum,600.0M x 35.0M,Enabled,False,csv_import
ALB 03,DISCOUNTALB4806066000_BR,Primary,Spectrum,600.0M x 35.0M,Enabled,False,csv_import
ALM 01,DISCOUNTALM3346945886_BR,Primary,Spectrum,600.0M x 35.0M,Enabled,False,csv_import
ALM 01,DISCOUNTALM4848869343_BR,Secondary,AT&T Broadband II,300.0M x 300.0M,Enabled,False,csv_import
ALM 02,DISCOUNTALM3362914962_BR,Primary,Spectrum,300.0M x 20.0M,Enabled,False,csv_import
ALM 02,DISCOUNTALM9756799552_BR,Secondary,AT&T Broadband II,300.0M x 300.0M,Enabled,False,csv_import
ALM 03,DISCOUNTALM3346044139_BR,Primary,Spectrum,940.0M x 35.0M,Enabled,False,csv_import
ALM 03,DISCOUNTALM3504687429_BR,Secondary,AT&T Broadband II,1000.0M x 1000.0M,Enabled,False,csv_import
ALM 04,DISCOUNTALM6431850252_BR,Primary,AT&T Broadband II,1000.0M x 1000.0M,Enabled,False,csv_import
ALM 04,DISCOUNTALM7309852628_BR,Secondary,Spectrum,600.0M x 35.0M,Enabled,False,csv_import
ALN 01,DISCOUNTALN7945643150_BR,Primary,Comcast Workplace,300.0M x 30.0M,Enabled,False,csv_import
ALN 02,DISCOUNTALN9092359133_BR,Primary,AT&T Broadband II,300.0M x 300.0M,Enabled,False,csv_import
ALN 02,DISCOUNTALN9386667955_BR,Secondary,Comcast Workplace,250.0M x 25.0M,Enabled,False,csv_import
ALS 01,DISCOUNTALS3345476535_BR,Primary,Spectrum,600.0M x 35.0M,Enabled,False,csv_import
ALS 01,DISCOUNTALS8345160257_BR,Secondary,Comcast Workplace,300.0M x 30.0M,Enabled,False,csv_import
ALS 02,DISCOUNTALS4733314672_BR,Primary,C Spire,1000.0M x 1000.0M,Enabled,False,csv_import
ALS 02,DISCOUNTALS2874182895_BR,Secondary,Brightspeed,300.0M x 300.0M,Enabled,False,csv_import
ARL 01,DISCOUNTARL2643644904_BR,Primary,AT&T Broadband II,1000.0M x 1000.0M,Enabled,False,csv_import
ARL 01,DISCOUNTARL4826965296_BR,Secondary,Comcast Workplace,1000.0M x 35.0M,Enabled,False,csv_import
ARL 02,DISCOUNTARL5014066970_BR,Primary,Comcast Workplace,250.0M x 25.0M,Enabled,False,csv_import
ARL 02,DISCOUNTARL8017270517_BR,Secondary,AT&T Broadband II,300.0M x 300.0M,Enabled,False,csv_import
ARL 03,DISCOUNTARL5015856214_BR,Primary,Conway Corporation,500.0M x 50.0M,Enabled,False,csv_import
ARL 03,DISCOUNTARL7988185804_BR,Secondary,AT&T Broadband II,300.0M x 300.0M,Enabled,False,csv_import
ARL 04,DISCOUNTARL8702037118_BR,Primary,Altice West,300.0M x 30.0M,Enabled,False,csv_import
ARL 04,DISCOUNTARL2891660133_BR,Secondary,AT&T Broadband II,300.0M x 300.0M,Enabled,False,csv_import
ARL 05,DISCOUNTARL4806066000_BR,Primary,AT&T Broadband II,1000.0M x 200.0M,Enabled,False,csv_import
ARL 05,DISCOUNTARL9729752318_BR,Secondary,Ritter Communications,250.0M x 250.0M,Enabled,False,csv_import
ARL 06,DISCOUNTARL2182922886_BR,Primary,Altice West,300.0M x 30.0M,Enabled,False,csv_import
ARL 06,DISCOUNTARL8203839073_BR,Secondary,Brightspeed,100.0M x 100.0M,Enabled,False,csv_import
ARO 01,DISCOUNTARO8837608756_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
ARO 01,DISCOUNTARO2938999897_BR,Secondary,AT&T Broadband II,300.0M x 300.0M,Enabled,False,csv_import
ARO 02,DISCOUNTARO9777173509_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
ARO 02,DISCOUNTARO8507157491_BR,Secondary,AT&T Broadband II,300.0M x 300.0M,Enabled,False,csv_import
ARO 03,DISCOUNTARO4792027876_BR,Primary,AT&T Broadband II,500.0M x 100.0M,Enabled,False,csv_import
ARO 03,DISCOUNTARO4963542361_BR,Secondary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
ARO 04,DISCOUNTARO4806066000_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
ARO 04,DISCOUNTARO7402518160_BR,Secondary,AT&T Broadband II,300.0M x 300.0M,Enabled,False,csv_import
ARO 05,DISCOUNTARO4806066347_BR,Primary,Yelcot Communications,300.0M x 30.0M,Enabled,False,csv_import
ARO 05,DISCOUNTARO2931521670_BR,Secondary,Ritter Communications,250.0M x 250.0M,Enabled,False,csv_import
ARO 06,DISCOUNTARO8438778648_BR,Primary,AT&T Broadband II,1000.0M x 1000.0M,Enabled,False,csv_import
ARO 06,DISCOUNTARO2517458359_BR,Secondary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZC 01,DISCOUNTAZC1793985313_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZF 01,DISCOUNTAZF6320412213_BR,Primary,CenturyLink Fiber Plus ,500.0M x 500.0M,Enabled,False,csv_import
AZF 02,DISCOUNTAZF4871699316_BR-I3,Primary,Altice West,500.0M x 50.0M,Enabled,False,csv_import
AZF 02,DISCOUNTAZF4764265990_BR,Secondary,Lightpath ,300.0M x 300.0M,Enabled,False,csv_import
AZH 01,DISCOUNTAZH6545349670_BR,Primary,Altice West,500.0M x 50.0M,Enabled,False,csv_import
AZK 01,,Primary,Frontier,,Enabled,False,Non-DSR
AZK 01,DISCOUNTAZK6338967260_BR,Secondary,Allo Communications,500.0M x 500.0M,Enabled,False,csv_import
AZM 01,DISCOUNTAZM4806066000_BR,Primary,Orbitel Communications,300.0M x 20.0M,Enabled,False,csv_import
AZN 02,DISCOUNTAZN3482125851_BR,Primary,EB2-CableOne Cable,300.0M x 30.0M,Enabled,False,csv_import
AZN 03,DISCOUNTAZN6950356611_BR,Primary,Sparklight,300.0M x 30.0M,Enabled,False,csv_import
AZN 04,,Primary,AT&T,,Enabled,False,Non-DSR
AZN 05,DISCOUNTAZN5419375378_BR,Primary,TransWorld,500.0M x 500.0M,Enabled,False,csv_import
AZN 06,DISCOUNTAZN4806066000_BR,Primary,Sparklight,300.0M x 30.0M,Enabled,False,csv_import
AZP 00,DISCOUNTAZP3557861276_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 01,DISCOUNTAZP3992662287_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 03,DISCOUNTAZP7869100964_BR,Secondary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 05,DISCOUNTAZP9784450642_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 07,DISCOUNTAZP9909596498_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 08,DISCOUNTAZP9645676475_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 09,DISCOUNTAZP7794721720_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 09,DISCOUNTAZP1640212229_BR,Secondary,EB2-Lumen DSL,100.0M x 10.0M,Enabled,False,csv_import
AZP 10,DISCOUNTAZP8153772911_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 11,DISCOUNTAZP1554496279_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 13,DISCOUNTAZP3233428839_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 14,DISCOUNTAZP9977362892_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 16,DISCOUNTAZP8863312448_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 17,DISCOUNTAZP6425290522_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 18,DISCOUNTAZP7667290467_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 18,DISCOUNTAZP2785496507_BR,Secondary,EB2-CenturyLink DSL,80.0M x 10.0M,Enabled,False,csv_import
AZP 19,DISCOUNTAZP1519369507_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 20,DISCOUNTAZP1905575187_BR,Primary,Saddleback Communications,300.0M x 80.0M,Enabled,False,csv_import
AZP 21,DISCOUNTAZP4809263815_BR,Primary,Cox Business/BOI,100.0M x 20.0M,Enabled,False,csv_import
AZP 21,DISCOUNTAZP4809263815_BR-I2,Secondary,CenturyLink/Embarq,80.0M x 10.0M,Enabled,False,csv_import
AZP 22,DISCOUNTAZP4808995983_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 22,DISCOUNTAZP7237573209_BR,Secondary,EB2-Centurylink DSL,100.0M x 10.0M,Enabled,False,csv_import
AZP 23,DISCOUNTAZP3655668170_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 24,DISCOUNTAZP5533252648_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 24,DISCOUNTAZP4059238289_BR,Secondary,EB2-Centurylink DSL,100.0M x 10.0M,Enabled,False,csv_import
AZP 25,DISCOUNTAZP7373231999_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 26,DISCOUNTAZP3793910721_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 26,DISCOUNTAZP9003477183_BR,Secondary,EB2-Centurylink DSL,100.0M x 10.0M,Enabled,False,csv_import
AZP 27,DISCOUNTAZP5131496844_BR-I4,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 27,DISCOUNTAZP5131496844_BR,Secondary,CenturyLink/Qwest,40.0M x 20.0M,Enabled,False,csv_import
AZP 28,DISCOUNTAZP5436661169_BR,Primary,Cox Business/BOI,500.0M x 50.0M,Enabled,False,csv_import
AZP 28,DISCOUNTAZP5436661168_BR,Secondary,CenturyLink/Qwest,140.0M x 20.0M,Enabled,False,csv_import
AZP 29,DISCOUNTAZP1000726493_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 29,DISCOUNTAZP5102110238_BR,Secondary,EB2-Lumen DSL,140.0M x 20.0M,Enabled,False,csv_import
AZP 30,DISCOUNTAZP9119781890_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 30,DISCOUNTAZP7926728340_BR,Secondary,EB2-Centurylink DSL,100.0M x 10.0M,Enabled,False,csv_import
AZP 31,DISCOUNTAZP5621591385_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 32,DISCOUNTAZP6708507623_BR,Primary,Cox Business/BOI,200.0M x 20.0M,Enabled,False,csv_import
AZP 33,DISCOUNTAZP1923935835_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 34,DISCOUNTAZP2197922641_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 35,DISCOUNTAZP1916104318_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 36,DISCOUNTAZP9245588223_BR-I4,Primary,Wyyerd Fiber,2000.0M x 2000.0M,Enabled,False,csv_import
AZP 37,DISCOUNTAZP9314891532_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 37,DISCOUNTAZP9314891531_BR,Secondary,CenturyLink/Qwest ,60.0M x 5.0M,Enabled,False,csv_import
AZP 38,DISCOUNTAZP5002387395_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 39,DISCOUNTAZP8801406713_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 41,,Primary,AT&T,,Enabled,False,Non-DSR
AZP 42,DISCOUNTAZP5007454773_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 43,DISCOUNTAZP6122973741_BR-I6,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 43,DISCOUNTAZP6122973741_BR,Secondary,CenturyLink ,80.0M x 10.0M,Enabled,False,csv_import
AZP 44,DISCOUNTAZP8405509472_BR,Secondary,CenturyLink/Embarq,100.0M x 10.0M,Enabled,False,csv_import
AZP 45,DISCOUNTAZP7249344698_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 46,DISCOUNTAZP3803533721_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 46,DISCOUNTAZP1951234154_BR,Secondary,EB2-Centurylink DSL,140.0M x 20.0M,Enabled,False,csv_import
AZP 47,DISCOUNTAZP7408075517_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 48,DISCOUNTAZP7332786306_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 49,DISCOUNTAZP5750492111_BR-I1,Primary,CenturyLink/Qwest,12.0M x 2.0M,Enabled,False,csv_import
AZP 50,DISCOUNTAZP8792883997_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 51,DISCOUNTAZP8025585990_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 53,DISCOUNTAZP3103851659_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 54,DISCOUNTAZP1075947301_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 54,DISCOUNTAZP1075947300_BR,Secondary,CenturyLink/Qwest,100.0M x 10.0M,Enabled,False,csv_import
AZP 55,DISCOUNTAZP2031038625_BR,Primary,CenturyLink Fiber Plus,500.0M x 500.0M,Enabled,False,csv_import
AZP 57,DISCOUNTAZP8052603522_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 58,DISCOUNTAZP9150786695_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 59,DISCOUNTAZP4805092144_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZP 60,DISCOUNTAZP8193977474_BR,Primary,Mediacom/BOI,1000.0M x 30.0M,Enabled,False,csv_import
AZP 61,DISCOUNTAZP4808241057_BR,Primary,Cox Business/BOI,200.0M x 20.0M,Enabled,False,csv_import
AZP 62,DISCOUNTAZP4803089894_BR,Primary,Cox Business/BOI ,300.0M x 30.0M,Enabled,False,csv_import
AZS 01,DISCOUNTAZS9908115131_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZT 01,DISCOUNTAZT3806404812_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZT 02,DISCOUNTAZT9289141943_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZT 02,DISCOUNTAZT7567987649_BR,Secondary,EB2-Centurylink DSL,100.0M x 10.0M,Enabled,False,csv_import
AZT 03,DISCOUNTAZT9282421854_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZT 06,DISCOUNTAZT2388433588_BR,Primary,Comcast Workplace,600.0M x 35.0M,Enabled,False,csv_import
AZT 07,DISCOUNTAZT6153158558_BR,Primary,Cox Business,200.0M x 200.0M,Enabled,False,csv_import
AZT 09,DISCOUNTAZT6937934678_BR,Primary,Comcast Workplace,600.0M x 35.0M,Enabled,False,csv_import
AZT 10,DISCOUNTAZT8550471161_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZT 11,DISCOUNTAZT8765915973_BR,Primary,Comcast Workplace,600.0M x 35.0M,Enabled,False,csv_import
AZT 12,DISCOUNTAZT1295625481_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZT 12,DISCOUNTAZT1295625480_BR,Secondary,Lumen Qwest,100.0M x 10.0M,Enabled,False,csv_import
AZT 13,DISCOUNTAZT1649520102_BR-I3,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZT 13,DISCOUNTAZT1649520102_BR,Secondary,GTT/ESA2 ADSL,12.0M x 1.0M,Enabled,False,csv_import
AZT 14,DISCOUNTAZT5298279545_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
AZT 14,DISCOUNTAZT1559757518_BR,Secondary,Login,100.0M x 20.0M,Enabled,False,csv_import
AZY 01,DISCOUNTAZY5559910462_BR,Primary,Spectrum,600.0M x 35.0M,Enabled,False,csv_import
AZY 02,DISCOUNTAZY4755045195_BR,Primary,Spectrum,600.0M x 35.0M,Enabled,False,csv_import
AZY 02,DISCOUNTAZY7580450337_BR,Secondary,Allo Communications,1000.0M x 1000.0M,Enabled,False,csv_import
CAL000,DISCOUNTCAL5554655119_BR,Primary,Frontier FIOS,500.0M x 500.0M,Enabled,False,csv_import
CAL000,DISCOUNTCAL8350521797_BR-I1,Secondary,Spectrum,600.0M x 35.0M,Enabled,False,csv_import
CAL 01,DISCOUNTCAL6248537396_BR,Primary,Spectrum,600.0M x 35.0M,Enabled,False,csv_import
CAL 01,DISCOUNTCAL8343857667_BR,Secondary,EB2-Frontier Fiber,500.0M x 500.0M,Enabled,False,csv_import
CAL 02,DISCOUNTCAL6937813442_BR,Primary,Spectrum,600.0M x 35.0M,Enabled,False,csv_import
CAL 02,DISCOUNTCAL8319720801_BR,Secondary,Frontier MetroFiber,100.0M x 100.0M,Enabled,False,csv_import
CAL 03,DISCOUNTCAL6256454620_BR,Primary,GTT Ethernet,50.0M x 10.0M,Enabled,False,csv_import
CAL 04,DISCOUNTCAL3949321288_BR,Primary,Spectrum,600.0M x 35.0M,Enabled,False,csv_import
CAL 04,DISCOUNTCAL6392905652_BR,Secondary,AT&T Broadband II,1000.0M x 1000.0M,Enabled,False,csv_import
