id,network_name,device_tags,wan1_provider,wan1_speed,wan1_circuit_role,wan1_confirmed,wan2_provider,wan2_speed,wan2_circuit_role,wan2_confirmed,last_updated,created_at,pushed_to_meraki,pushed_date,wan1_ip,wan2_ip,wan1_arin_org,wan2_arin_org
25080,AZP 16,,Cox Business/BOI,300.0M x 30.0M,Primary,True,Digi,Cell,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,True,2025-07-09 06:47:58.074315,,,,
25149,CAL 08,,Spectrum,600.0M x 35.0M,Primary,True,AT&T Broadband II,300.0M x 300.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25163,CAL 23,,AT&T Broadband II,600.0M x 35.0M,Primary,True,Spectrum,1000.0M x 1000.0M,Secondary,True,2025-07-07 11:46:54.544083,2025-07-07 09:50:02.793660,False,,,,,
25170,CAL 35,,AT&T Broadband II,600.0M x 35.0M,Primary,True,Spectrum,300.0M x 300.0M,Secondary,True,2025-07-07 11:46:54.544083,2025-07-07 09:50:02.793660,False,,,,,
25174,CAL 41,,AT&T Broadband II,940.0M x 35.0M,Primary,True,Spectrum,300.0M x 300.0M,Secondary,True,2025-07-07 11:46:54.544083,2025-07-07 09:50:02.793660,False,,,,,
25176,CAL 43,,AT&T Broadband II,600.0M x 35.0M,Primary,True,Spectrum,300.0M x 300.0M,Secondary,True,2025-07-07 11:46:54.544083,2025-07-07 09:50:02.793660,False,,,,,
25177,CAL 44,,AT&T Broadband II,600.0M x 35.0M,Primary,True,Spectrum,300.0M x 300.0M,Secondary,True,2025-07-07 11:46:54.544083,2025-07-07 09:50:02.793660,False,,,,,
25150,CAL 09,,Spectrum,600.0M x 35.0M,Primary,True,EB2-Frontier Fiber,500.0M x 500.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25161,CAL 21,,AT&T Broadband,45.0M x 6.0M,Primary,True,AT&T Broadband II,1000.0M x 1000.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25162,CAL 22,,Spectrum,600.0M x 35.0M,Primary,True,AT&T Broadband II,300.0M x 300.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25071,AZP 03,,Cox Business BOI,300.0M x 30.0M,Primary,True,Digi,Cell,Secondary,True,2025-07-07 11:51:33.065235,2025-07-07 09:50:02.793660,True,2025-07-07 11:51:33.065235,,,,
25164,CAL 24,,Frontier Fios,,Primary,True,Verizon Business,Cell,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25179,CAL 47,,EB2-Frontier Fiber	,500.0M x 500.0M,Primary,True,One Ring Networks,300.0M x 30.0M,Secondary,True,2025-07-07 16:41:34.319346,2025-07-07 09:50:02.793660,True,2025-07-07 16:41:34.319346,,,,
25067,AZN 05,,TransWorld,500.0M x 500.0M,Primary,True,VZW Cell,Cell,Secondary,True,2025-07-07 11:46:54.544083,2025-07-07 09:50:02.793660,False,,,,,
25165,CAL 26,,Spectrum,600.0M x 35.0M,Primary,True,AT&T Broadband II,300.0M x 300.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25166,CAL 28,,Spectrum,600.0M x 35.0M,Primary,True,Digi,Cell,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25182,CAL 50,,Spectrum,500.0M x 500.0M,Primary,True,EB2-Frontier Fiber,600.0M x 35.0M,Secondary,True,2025-07-07 11:46:54.544083,2025-07-07 09:50:02.793660,False,,,,,
25168,CAL 31,,Spectrum,600.0M x 35.0M,Primary,True,Verizon Business,Cell,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
