hostname,ip_address,device_family,module_model
IDF1A-4510.trtc.com,10.0.255.121,Cisco Catalyst,WS-X4648-RJ45V+E
IDF1A-4510.trtc.com,10.0.255.121,Cisco Catalyst,WS-X45-SUP8-E
IDF1A-4510.trtc.com,10.0.255.121,Cisco Catalyst,WS-X4748-RJ45V+E
IDF1B-4510-SW1.trtc.com,10.0.255.123,Cisco Catalyst,WS-X45-SUP8-E
IDF1B-4510-SW1.trtc.com,10.0.255.123,Cisco Catalyst,WS-X4748-RJ45V+E
IDF1B-4510-SW1.trtc.com,10.0.255.123,Cisco Catalyst,WS-X4648-RJ45V+E
IDF1B-4510-SW2.trtc.com,10.0.255.124,Cisco Catalyst,WS-X4648-RJ45V+E
IDF1B-4510-SW2.trtc.com,10.0.255.124,Cisco Catalyst,WS-X4748-RJ45V+E
IDF1B-4510-SW2.trtc.com,10.0.255.124,Cisco Catalyst,WS-X45-SUP8-E
IDF1C-9410-SW.trtc.com,10.0.255.61,Cisco Catalyst,C9400-LC-48P
IDF1C-9410-SW.trtc.com,10.0.255.61,Cisco Catalyst,C9400-SUP-1XL
IDF2A-4510.trtc.com,10.0.255.122,Cisco Catalyst,WS-X4648-RJ45V+E
IDF2A-4510.trtc.com,10.0.255.122,Cisco Catalyst,WS-X45-SUP8-E
IDF2A-4510.trtc.com,10.0.255.122,Cisco Catalyst,WS-X4748-RJ45V+E
IDF2B-9410-SW.trtc.com,10.0.255.125,Cisco Catalyst,C9400-LC-48P
IDF2B-9410-SW.trtc.com,10.0.255.125,Cisco Catalyst,C9400-SUP-1XL
IDF2C-9410-SW.trtc.com,10.0.255.62,Cisco Catalyst,C9400-SUP-1XL
IDF2C-9410-SW.trtc.com,10.0.255.62,Cisco Catalyst,C9400-LC-48P
EQX-EXT-93180-01,10.44.158.11,Cisco Nexus,N9K-C93180YC-FX-24
EQX-EXT-93180-02,10.44.158.12,Cisco Nexus,N9K-C93180YC-FX-24
EQX-INT-93180-01,10.44.158.21,Cisco Nexus,N9K-C93180YC-FX-24
EQX-INT-93180-02,10.44.158.22,Cisco Nexus,N9K-C93180YC-FX-24
EQX-INT-93180-02,10.44.158.22,Cisco Nexus,GLC-TE              
AL-3130-R16-Enc1-A.dtc_phx.com,10.101.255.118,Cisco Other,800-27645-02    
AL-3130-R16-ENC1-B.dtc_phx.com,10.101.255.119,Cisco Other,800-27645-02    
AL-3130-R3-ENC2-A.dtc_phx.com,10.101.255.115,Cisco Other,800-27645-02    
AL-3130-R3-ENC2-B.dtc_phx.com,10.101.255.117,Cisco Other,800-27645-02    
AL-5000-01,10.101.145.125,Cisco Other,"Fabric Extender Module: 48x1GE, 4x10GE"
AL-5000-01,10.101.145.125,Cisco Other,N5K-C5010P-BF
AL-5000-02,10.101.145.126,Cisco Other,N5K-C5010P-BF
AL-5000-02,10.101.145.126,Cisco Other,"Fabric Extender Module: 48x1GE, 4x10GE"
AL-7000-01-ADMIN,10.101.145.123,Cisco Other,N7K-F312FQ-25
AL-7000-01-ADMIN,10.101.145.123,Cisco Other,N7K-SUP2E
AL-7000-01-ADMIN,10.101.145.123,Cisco Other,N7K-C7010-FAB-2
AL-7000-01-ADMIN,10.101.145.123,Cisco Other,N7K-F248XP-25E
AL-7000-01-CORE,10.101.255.244,Cisco Other,N7K-F312FQ-25
AL-7000-01-CORE,10.101.255.244,Cisco Other,N7K-SUP2E
AL-7000-01-CORE,10.101.255.244,Cisco Other,N7K-C7010-FAB-2
AL-7000-01-CORE,10.101.255.244,Cisco Other,N7K-F248XP-25E
AL-7000-01-EDGE,10.101.100.209,Cisco Other,N7K-SUP2E
AL-7000-01-EDGE,10.101.100.209,Cisco Other,N7K-F312FQ-25
AL-7000-01-EDGE,10.101.100.209,Cisco Other,N7K-C7010-FAB-2
AL-7000-01-EDGE,10.101.100.209,Cisco Other,N7K-F248XP-25E
AL-7000-01-PCI,10.101.100.189,Cisco Other,N7K-C7010-FAB-2
AL-7000-01-PCI,10.101.100.189,Cisco Other,N7K-SUP2E
AL-7000-01-PCI,10.101.100.189,Cisco Other,N7K-F248XP-25E
AL-7000-01-PCI,10.101.100.189,Cisco Other,N7K-F312FQ-25
AL-7000-02-ADMIN,10.101.145.124,Cisco Other,N7K-F248XP-25E
AL-7000-02-ADMIN,10.101.145.124,Cisco Other,N7K-SUP2E
AL-7000-02-ADMIN,10.101.145.124,Cisco Other,N7K-C7010-FAB-2
AL-7000-02-ADMIN,10.101.145.124,Cisco Other,N7K-F312FQ-25
AL-7000-02-CORE,10.0.184.20,Cisco Other,N7K-SUP2E
AL-7000-02-CORE,10.0.184.20,Cisco Other,N7K-F248XP-25E
AL-7000-02-CORE,10.0.184.20,Cisco Other,N7K-C7010-FAB-2
AL-7000-02-CORE,10.0.184.20,Cisco Other,N7K-F312FQ-25
AL-7000-02-EDGE,10.101.100.217,Cisco Other,N7K-F248XP-25E
AL-7000-02-EDGE,10.101.100.217,Cisco Other,N7K-C7010-FAB-2
AL-7000-02-EDGE,10.101.100.217,Cisco Other,N7K-F312FQ-25
AL-7000-02-EDGE,10.101.100.217,Cisco Other,N7K-SUP2E
AL-7000-02-PCI,10.101.100.201,Cisco Other,N7K-SUP2E
AL-7000-02-PCI,10.101.100.201,Cisco Other,N7K-F312FQ-25
AL-7000-02-PCI,10.101.100.201,Cisco Other,N7K-F248XP-25E
AL-7000-02-PCI,10.101.100.201,Cisco Other,N7K-C7010-FAB-2
ALA-3130-Rack3-ENC3-A.dtc_phx.com,10.101.255.120,Cisco Other,800-27645-02    
ALA-3130-Rack3-ENC3-B.dtc_phx.com,10.101.255.121,Cisco Other,800-27645-02    
AL-MPLS-R1.dtc_phx.com,10.101.100.106,Cisco Other,C8300-1N1S-4T2X
AL-MPLS-R1.dtc_phx.com,10.101.255.248,Cisco Other,C8300-1N1S-4T2X
EQX-CldTrst-8500-01,10.44.158.41,Cisco Other,C8500-12X
EQX-CldTrst-8500-02,10.44.158.42,Cisco Other,C8500-12X
EQX-EdgeDIA-8300-01,10.44.158.51,Cisco Other,C-NIM-1X
EQX-EdgeDIA-8300-01,10.44.158.51,Cisco Other,C8300-2N2S-4T2X
EQX-EdgeDIA-8300-02,10.44.158.52,Cisco Other,C-NIM-1X
EQX-EdgeDIA-8300-02,10.44.158.52,Cisco Other,C8300-2N2S-4T2X
