Site Name,Interface,Status,DSR Provider,ARIN Provider,Match,Action Taken
ALB 01,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
ALB 03,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
ALM 01,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
ALM 02,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
ALM 03,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
ALM 04,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
ALN 01,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
ALN 02,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
ALS 01,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
ALS 02,WAN1,MATCH,C Spire,C Spire Fiber,Yes,Updated
ARL 01,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
ARL 03,WAN1,MATCH,Conway Corporation,Conway Corporation,Yes,Updated
ARL 05,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
ARO 03,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
ARO 04,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
ARO 05,WAN1,MATCH,Yelcot Communications,YELCOT TELEPHONE COMPANY,Yes,Updated
AZC 01,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZK 01,WAN1,MATCH,Frontier,"Frontier Communications of America, Inc.",Yes,Updated
AZM 01,WAN1,MATCH,Orbitel Communications,"Orbitel Communications, LLC",Yes,Updated
AZN 04,WAN1,MATCH,AT&T,AT&T,Yes,Updated
AZP 01,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZP 05,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZP 07,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZP 08,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZP 09,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZP 10,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZP 11,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZP 13,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZP 14,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZP 16,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZP 17,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZP 18,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZP 19,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZP 20,WAN1,MATCH,Saddleback Communications,Saddleback Communications,Yes,Updated
AZP 21,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZP 22,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZP 23,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZP 24,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZP 25,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZP 26,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZP 27,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZP 28,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZP 29,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZP 30,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZP 31,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZP 32,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZP 33,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZP 34,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZP 35,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZP 37,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZP 38,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZP 39,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZP 41,WAN1,MATCH,AT&T,AT&T,Yes,Updated
AZP 42,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZP 43,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
