Site Name,WAN Port,Provider,Speed,Circuit Role,Confirmed,Speed Status,Device Tags,Last Updated
CAN 16,WAN1,Frontier Communications,500.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
CAN 16,WAN2,Digi,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
CAN 25,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
CAN 25,WAN2,AT&T Broadband II,300.0M x 300.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
CAN 35,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
CAN 35,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
CAN_00,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
CAN_00,WAN2,AT&T,300.0 M,Secondary,True,CORRUPTED,,2025-07-07 11:46:47.102071
CAS 35,WAN1,Frontier Communications,500.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
CAS 35,WAN2,VZW Cell,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
CAS 40,WAN1,Frontier Communications,500.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
CAS 40,WAN2,Digi,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
CAS 41,WAN1,Frontier Communications,500.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
CAS 41,WAN2,VZW Cell,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
CAS 45,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 18:58:22.644043
CAS 45,WAN2,Digi,Cell,Secondary,True,OK,,2025-07-07 18:58:22.644043
CAS 46,WAN1,AT&T,20.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
CAS 46,WAN2,VZW Cell,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
CAS_00,WAN1,AT&T,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
CAS_00,WAN2,Cox Communications,300.0 M,Secondary,True,CORRUPTED,,2025-07-07 11:46:47.102071
COD 01,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
COD 01,WAN2,Verizon Business,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
COD 03,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
COD 03,WAN2,Unknown,,Secondary,True,OK,,2025-07-07 11:46:47.102071
COD 08,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
COD 08,WAN2,Unknown,,Secondary,True,OK,,2025-07-07 11:46:47.102071
COD 09,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
COD 09,WAN2,Unknown,,Secondary,True,OK,,2025-07-07 11:46:47.102071
COD 13,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
COD 13,WAN2,VZW Cell,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
COD 23,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
