Site Name,Network Name (Enriched),Enriched WAN1 Provider,Enriched WAN1 Speed,Enriched WAN1 Role,Enriched WAN2 Provider,Enriched WAN2 Speed,Enriched WAN2 Role,Meraki WAN1 IP,Meraki WAN2 IP,Meraki WAN1 ARIN Provider,Meraki WAN2 ARIN Provider,Meraki Notes,DSR Primary Provider,DSR Primary Speed,DSR Primary IP,DSR Secondary Provider,DSR Secondary Speed,DSR Secondary IP
CAN 16,CAN 16,Frontier Communications,500.0 M,Primary,Digi,Cell,Secondary,47.176.225.2,166.184.156.31,Frontier Communications,Unknown,"WAN 1
Frontier Communications
500.0M x 500.0M
WAN 2
Digi
Cell",,,,,,
CAN 25,CAN 25,Comcast,300.0 M,Primary,AT&T Broadband II,300.0M x 300.0M,Secondary,96.92.113.13,99.3.127.17,Unknown,Unknown,"WAN 1
Comcast
300.0M x 30.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M",,,,AT&T Broadband II,300.0M x 300.0M,99.3.127.17
CAN 35,CAN 35,AT&T Broadband II,1000.0 M,Primary,Comcast,1000.0M x 1000.0M,Secondary,99.156.67.249,50.255.225.209,AT&T,Comcast,"WAN 1
AT&T Broadband II	
1000.0M x 1000.0M
WAN 2
Comcast
1000.0M x 1000.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,99.156.67.249
CAN_00,CAN_00,Comcast,300.0 M,Primary,AT&T,300.0 M,Secondary,96.81.183.205,108.86.147.217,Comcast,AT&T,"WAN 1
Comcast
300.0M x 30.0M
WAN 2
AT&T
300.0M x 300.0M",,,,,,
CAS 35,CAS 35,Frontier Communications,500.0 M,Primary,VZW Cell,Cell,Secondary,47.176.206.178,192.168.0.151,Frontier Communications,Private IP,WAN 1\nFrontier Communications\n500.0M x 500.0M\nWAN 2\nVZW Cell\nCell,,,,,,
CAS 40,CAS 40,Frontier Communications,500.0 M,Primary,Digi,Cell,Secondary,47.179.21.123,107.84.138.73,Frontier Communications,"AT&T Enterprises, LLC","WAN 1
Frontier Communications
500.0M x 50.0M
WAN 2
Digi
Cell",,,,,,
CAS 41,CAS 41,Frontier Communications,500.0 M,Primary,VZW Cell,Cell,Secondary,47.176.225.10,166.248.9.55,Frontier Communications,Verizon Business,"WAN 1
Frontier Communications
500.0M x 500.0M
WAN 2
VZW Cell
Cell",,,,,,
CAS 45,CAS 45,AT&T Broadband II,1000.0 M,Primary,Digi,Cell,Secondary,162.196.235.249,166.184.158.31,AT&T,AT&T,"WAN 1
AT&T Broadband II	
1000.0M x 1000.0M
WAN 2
Digi
Cell",,,,AT&T Broadband II,1000.0M x 1000.0M,162.196.235.249
CAS 46,CAS 46,AT&T,20.0 M,Primary,VZW Cell,Cell,Secondary,12.111.1.98,166.248.10.66,AT&T,Verizon Business,"WAN 1
AT&T
20.0M x 20.0M
WAN 2
VZW Cell
Cell",,,,,,
CAS_00,CAS_00,AT&T,300.0 M,Primary,Cox Communications,300.0 M,Secondary,76.210.250.113,98.178.226.110,Unknown,Unknown,"WAN 1
AT&T
300.0M x 300.0M
WAN 2
Cox Communications
300.0M x 30.0M",,,,,,
