hostname,ip,chassis_model,chassis_serial,chassis_description,module_count,fabric_count,power_supply_count,transceiver_count,supervisor_models,line_card_models
HQ-7000-01-CORE.dtc_phx.com,10.0.100.194,N7K-C7010,TBM13322374,Nexus7000 C7010 (10 Slot) Chassis,68,5,2,61,N7K-SUP2E,"GLC-SX-MMD, QSFP-40G-SR4, QSFP-40G-SR-BD, SFP-10G-SR, SFP-10G-LR, N7K-F312FQ-25, N7K-F248XP-25E"
HQ-7000-01-PCI.dtc_phx.com,10.0.179.2,N7K-C7010,TBM13322374,Nexus7000 C7010 (10 Slot) Chassis,68,5,2,61,N7K-SUP2E,"GLC-SX-MMD, QSFP-40G-SR4, QSFP-40G-SR-BD, SFP-10G-SR, SFP-10G-LR, N7K-F312FQ-25, N7K-F248XP-25E"
HQ-7000-02-CORE.dtc_phx.com,10.0.100.210,N7K-C7010,JAF1429DSFM,Nexus7000 C7010 (10 Slot) Chassis,70,5,2,63,N7K-SUP2E,"GLC-SX-MMD, QSFP-40G-SR4, QSFP-40G-SR-BD, SFP-10G-SR, SFP-10G-LR, N7K-F312FQ-25, N7K-F248XP-25E"
HQ-7000-02-EDGE.dtc_phx.com,10.253.253.3,N7K-C7010,JAF1429DSFM,Nexus7000 C7010 (10 Slot) Chassis,70,5,2,63,N7K-SUP2E,"GLC-SX-MMD, QSFP-40G-SR4, QSFP-40G-SR-BD, SFP-10G-SR, SFP-10G-LR, N7K-F312FQ-25, N7K-F248XP-25E"
HQ-7000-02-PCI.dtc_phx.com,10.0.179.3,N7K-C7010,JAF1429DSFM,Nexus7000 C7010 (10 Slot) Chassis,70,5,2,63,N7K-SUP2E,"GLC-SX-MMD, QSFP-40G-SR4, QSFP-40G-SR-BD, SFP-10G-SR, SFP-10G-LR, N7K-F312FQ-25, N7K-F248XP-25E"
HQ-7000-01-CORE.dtc_phx.com,10.0.255.239,N7K-C7010,TBM13322374,Nexus7000 C7010 (10 Slot) Chassis,68,5,2,61,N7K-SUP2E,"GLC-SX-MMD, QSFP-40G-SR4, QSFP-40G-SR-BD, SFP-10G-SR, SFP-10G-LR, N7K-F312FQ-25, N7K-F248XP-25E"
HQ-7000-02-EDGE.dtc_phx.com,10.0.100.201,N7K-C7010,JAF1429DSFM,Nexus7000 C7010 (10 Slot) Chassis,70,5,2,63,N7K-SUP2E,"GLC-SX-MMD, QSFP-40G-SR4, QSFP-40G-SR-BD, SFP-10G-SR, SFP-10G-LR, N7K-F312FQ-25, N7K-F248XP-25E"
HQ-7000-01-ADMIN,10.0.145.123,N7K-C7010,TBM13322374,Nexus7000 C7010 (10 Slot) Chassis,68,5,2,61,N7K-SUP2E,"GLC-SX-MMD, QSFP-40G-SR4, QSFP-40G-SR-BD, SFP-10G-SR, SFP-10G-LR, N7K-F312FQ-25, N7K-F248XP-25E"
HQ-7000-02-ADMIN,10.0.145.124,N7K-C7010,JAF1429DSFM,Nexus7000 C7010 (10 Slot) Chassis,70,5,2,63,N7K-SUP2E,"GLC-SX-MMD, QSFP-40G-SR4, QSFP-40G-SR-BD, SFP-10G-SR, SFP-10G-LR, N7K-F312FQ-25, N7K-F248XP-25E"
HQ-7000-01-EDGE,10.0.145.2,N7K-C7010,TBM13322374,Nexus7000 C7010 (10 Slot) Chassis,68,5,2,61,N7K-SUP2E,"GLC-SX-MMD, QSFP-40G-SR4, QSFP-40G-SR-BD, SFP-10G-SR, SFP-10G-LR, N7K-F312FQ-25, N7K-F248XP-25E"
AL-7000-01-ADMIN,10.101.145.123,N7K-C7010,TBM13205522,Nexus7000 C7010 (10 Slot) Chassis,61,5,2,54,N7K-SUP2E,"QSFP-40G-SR4, QSFP-40G-SR-BD, SFP-10G-SR, SFP-10G-LR, N7K-F312FQ-25, N7K-F248XP-25E"
