site_name,circuit_purpose,provider_name,speed_original,speed_corrected,ip_address,arin_provider,wan_interface,source,status,last_updated,needs_speed_fix,billing_monthly_cost,contract_start_date,contract_term,early_termination_fee
AZN 04,Primary,Frontier,20.0M x 20.0M,20.0M x 20.0M,12.39.141.194,AT&T,WAN1,Non-DSR,Enabled,2025-07-07 11:49:51.480822,False,0.0,,,
AZN 04,Secondary,Digi,Cell,Cell,166.128.29.96,"AT&T Enterprises, LLC",WAN2,Non-DSR,Enabled,2025-07-07 11:49:51.480822,False,0.0,,,
AZP 41,Primary,AT&T,20.0M x 20.0M,20.0M x 20.0M,12.111.1.74,Unknown,WAN1,Non-DSR,Enabled,2025-07-09 06:49:23.953543,False,0.0,,,
AZP 41,Secondary,Starlink,Satellite,Satellite,143.105.158.34,Unknown,WAN2,Non-DSR,Enabled,2025-07-09 06:49:23.953543,False,0.0,,,
AZP 56,Primary,ComcastAgg,10.0M x 10.0M,10.0M x 10.0M,63.224.146.6,"CenturyLink Communications, LLC",WAN1,Non-DSR,Enabled,2025-07-09 06:49:41.369535,False,0.0,,,
AZP 56,Secondary,Digi,Cell,Cell,108.147.172.60,"AT&T Enterprises, LLC",WAN2,Non-DSR,Enabled,2025-07-09 06:49:41.369535,False,0.0,,,
AZP 63,Primary,Starlink,Satellite,Satellite,143.105.158.128,"SpaceX Services, Inc.",WAN1,Non-DSR,Enabled,2025-07-09 08:44:56.798844,False,0.0,,,
AZP 63,Secondary,VZG Cell,Cell,Cell,174.218.25.166,Verizon Business,WAN2,Non-DSR,Enabled,2025-07-09 08:44:56.798844,False,0.0,,,
AZP 64,Primary,Starlink,Satellite,Satellite,143.105.59.156,"SpaceX Services, Inc.",WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
AZP 64,Secondary,AT&T Cell,Cell,Cell,166.194.143.6,"AT&T Enterprises, LLC",WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
AZPB 20,Primary,Connected to Desert Ridge MX250,,,98.175.209.47,Cox Communications,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
AZPB 20,Secondary,Digi,Cell,Cell,166.128.221.236,"AT&T Enterprises, LLC",WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
BSM Test Network,Primary,BSM Lab in the Test Lab area of Scottsdale HQ,,,166.184.132.8,"AT&T Enterprises, LLC",WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
CAL_00,Primary,Frontier Communications,500.0M x 500.0M,500.0M x 500.0M,47.180.93.139,Unknown,WAN1,Non-DSR,Enabled,2025-07-09 06:51:32.391970,False,0.0,,,
CAL_00,Secondary,Charter Communications,600.0M x 35.0M,600.0M x 35.0M,98.152.193.10,Unknown,WAN2,Non-DSR,Enabled,2025-07-09 06:51:32.391970,False,0.0,,,
CAL 17,Primary,Frontier Communications,500.0M x 500.0M,500.0M x 500.0M,47.176.201.18,Frontier Communications,WAN1,Non-DSR,Enabled,2025-07-09 06:50:17.970666,False,0.0,,,
CAL 17,Secondary,VZW Cell,Cell,Cell,166.180.159.133,Verizon Business,WAN2,Non-DSR,Enabled,2025-07-09 06:50:17.970666,False,0.0,,,
CAL 20,Primary,Frontier Communications,500.0M x 500.0M,500.0M x 500.0M,47.179.15.126,Frontier Communications,WAN1,Non-DSR,Enabled,2025-07-09 06:50:41.633674,False,0.0,,,
CAL 20,Secondary,VZW Cell,Cell,Cell,192.168.0.151,Private IP,WAN2,Non-DSR,Enabled,2025-07-09 06:50:41.633674,False,0.0,,,
CAL 29,Primary,AT&T,,,12.3.118.66,AT&T,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
