site_name,circuit_purpose,provider_name,speed_original,speed_corrected,ip_address,arin_provider,wan_interface,source,status,last_updated,needs_speed_fix,billing_monthly_cost,contract_start_date,contract_term,early_termination_fee,raw_notes
AZN 04,Primary,Frontier,20.0M x 20.0M,20.0M x 20.0M,12.39.141.194,AT&T,WAN1,Non-DSR,Enabled,2025-07-07 11:49:51.480822,False,0.0,,,,"WAN1 NOT DSR
Frontier Dedicated Fiber 20M x 20M
First IP 12.39.141.194
Gateway 12.39.141.193
Subnet 255.255.255.248
WAN2  Digi"
AZN 04,Secondary,Digi,Cell,Cell,166.128.29.96,"AT&T Enterprises, LLC",WAN2,Non-DSR,Enabled,2025-07-07 11:49:51.480822,False,0.0,,,,"WAN1 NOT DSR
Frontier Dedicated Fiber 20M x 20M
First IP 12.39.141.194
Gateway 12.39.141.193
Subnet 255.255.255.248
WAN2  Digi"
AZP 41,Primary,AT&T,20.0M x 20.0M,20.0M x 20.0M,12.111.1.74,Unknown,WAN1,Non-DSR,Enabled,2025-07-09 06:49:23.953543,False,0.0,,,,"WAN1 NOT DSR AT&T ADI 20 MB x 20 MB
First IP 12.111.1.74
Gateway 12.111.1.73
Subnet 255.255.255.248
Wan 2: VZG"
AZP 41,Secondary,Starlink,Satellite,Satellite,143.105.158.34,Unknown,WAN2,Non-DSR,Enabled,2025-07-09 06:49:23.953543,False,0.0,,,,"WAN1 NOT DSR AT&T ADI 20 MB x 20 MB
First IP 12.111.1.74
Gateway 12.111.1.73
Subnet 255.255.255.248
Wan 2: VZG"
AZP 56,Primary,ComcastAgg,10.0M x 10.0M,10.0M x 10.0M,63.224.146.6,"CenturyLink Communications, LLC",WAN1,Non-DSR,Enabled,2025-07-09 06:49:41.369535,False,0.0,,,,"WAN1 (ComcastAgg) CenturyLink 10.0M x 768
IP: 63.224.146.1 - .5
Subnetmask: 255.255.255.248
Gateway: 63.224.146.6
7168 x 896

WAN2 - Digi"
AZP 56,Secondary,Digi,Cell,Cell,108.147.172.60,"AT&T Enterprises, LLC",WAN2,Non-DSR,Enabled,2025-07-09 06:49:41.369535,False,0.0,,,,"WAN1 (ComcastAgg) CenturyLink 10.0M x 768
IP: 63.224.146.1 - .5
Subnetmask: 255.255.255.248
Gateway: 63.224.146.6
7168 x 896

WAN2 - Digi"
AZP 63,Primary,Starlink,Satellite,Satellite,143.105.158.128,"SpaceX Services, Inc.",WAN1,Non-DSR,Enabled,2025-07-09 08:44:56.798844,False,0.0,,,,
AZP 63,Secondary,VZG Cell,Cell,Cell,174.218.25.166,Verizon Business,WAN2,Non-DSR,Enabled,2025-07-09 08:44:56.798844,False,0.0,,,,
AZP 64,Primary,Starlink,Satellite,Satellite,143.105.59.156,"SpaceX Services, Inc.",WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN1 AT&T, POE injector - Inseego Wavemaker FW2000e - supported through David Schulman

WAN2 VZG
IMEI: 356405432320357
Loc: Mid pod between NS04 & NS05"
AZP 64,Secondary,AT&T Cell,Cell,Cell,166.194.143.6,"AT&T Enterprises, LLC",WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,,"WAN1 AT&T, POE injector - Inseego Wavemaker FW2000e - supported through David Schulman

WAN2 VZG
IMEI: 356405432320357
Loc: Mid pod between NS04 & NS05"
