hostname,ip_address,component_type,model,serial_number,description,name,stack_position
ALA-3130-Rack3-ENC3-A.dtc_phx.com,10.101.255.120,Chassis,WS-CBS3130X-S,FOC1420H01S,WS-CBS3130X-S,1,Standalone
ALA-3130-Rack3-ENC3-A.dtc_phx.com,10.101.255.120,Module,800-27645-02,FDO141815M2,TwinGig Converter Module,Switch 1 - Slot 1 - TwinGig Converter Module,
ALA-3130-Rack3-ENC3-A.dtc_phx.com,10.101.255.120,Module,800-27645-02,FDO14181F25,TwinGig Converter Module,Switch 1 - Slot 2 - TwinGig Converter Module,
ALA-3130-Rack3-ENC3-B.dtc_phx.com,10.101.255.121,Chassis,WS-CBS3130X-S,FOC1437H010,WS-CBS3130X-S,1,Standalone
ALA-3130-Rack3-ENC3-B.dtc_phx.com,10.101.255.121,Module,800-27645-02,FDO14340BUE,TwinGig Converter Module,Switch 1 - Slot 1 - TwinGig Converter Module,
ALA-3130-Rack3-ENC3-B.dtc_phx.com,10.101.255.121,Module,800-27645-02,FDO14340AJT,TwinGig Converter Module,Switch 1 - Slot 2 - TwinGig Converter Module,
AL-3130-R16-ENC1-B.dtc_phx.com,10.101.255.119,Chassis,WS-CBS3130X-S,FOC1420H012,WS-CBS3130X-S,1,Standalone
AL-3130-R16-ENC1-B.dtc_phx.com,10.101.255.119,Module,800-27645-02,FDO141813Y8,TwinGig Converter Module,Switch 1 - Slot 1 - TwinGig Converter Module,
AL-3130-R16-ENC1-B.dtc_phx.com,10.101.255.119,Module,800-27645-02,FDO141814P2,TwinGig Converter Module,Switch 1 - Slot 2 - TwinGig Converter Module,
AL-3130-R16-Enc1-A.dtc_phx.com,10.101.255.118,Chassis,WS-CBS3130X-S,FOC1437H012,WS-CBS3130X-S,1,Standalone
AL-3130-R16-Enc1-A.dtc_phx.com,10.101.255.118,Module,800-27645-02,FDO14340A8H,TwinGig Converter Module,Switch 1 - Slot 1 - TwinGig Converter Module,
AL-3130-R16-Enc1-A.dtc_phx.com,10.101.255.118,Module,800-27645-02,FDO14340AFL,TwinGig Converter Module,Switch 1 - Slot 2 - TwinGig Converter Module,
AL-3130-R3-ENC2-B.dtc_phx.com,10.101.255.117,Chassis,WS-CBS3130X-S,FOC1420H01Z,WS-CBS3130X-S,1,Standalone
AL-3130-R3-ENC2-B.dtc_phx.com,10.101.255.117,Module,800-27645-02,FDO141816DL,TwinGig Converter Module,Switch 1 - Slot 1 - TwinGig Converter Module,
AL-3130-R3-ENC2-B.dtc_phx.com,10.101.255.117,Module,800-27645-02,FDO141816MQ,TwinGig Converter Module,Switch 1 - Slot 2 - TwinGig Converter Module,
AL-3130-R3-ENC2-A.dtc_phx.com,10.101.255.115,Chassis,WS-CBS3130X-S,FOC1420H01R,WS-CBS3130X-S,1,Standalone
AL-3130-R3-ENC2-A.dtc_phx.com,10.101.255.115,Module,800-27645-02,FDO14181E8Y,TwinGig Converter Module,Switch 1 - Slot 1 - TwinGig Converter Module,
AL-3130-R3-ENC2-A.dtc_phx.com,10.101.255.115,Module,800-27645-02,FDO141800PJ,TwinGig Converter Module,Switch 1 - Slot 2 - TwinGig Converter Module,
MDF-3130-I9-StackA,10.0.255.51,Chassis,WS-CBS3130X-S-F,FOC1217H0FC,WS-CBS3130X-S-F,1,Member 1
MDF-3130-I9-StackA,10.0.255.51,Chassis,WS-CBS3130X-S,FOC1414H06C,WS-CBS3130X-S,2,Member 2
MDF-3130-I9-StackA,10.0.255.51,Chassis,WS-CBS3130X-S-F,FOC1445H03L,WS-CBS3130X-S-F,3,Member 3
MDF-3130-I9-StackA,10.0.255.51,Module,800-27645-01,FDO12120A23,TwinGig Converter Module,Switch 1 - Slot 1 - TwinGig Converter Module,
MDF-3130-I9-StackA,10.0.255.51,Module,800-27645-01,FDO12120A7L,TwinGig Converter Module,Switch 1 - Slot 2 - TwinGig Converter Module,
MDF-3130-I9-StackA,10.0.255.51,Module,800-27645-02,FDO140403PA,TwinGig Converter Module,Switch 2 - Slot 1 - TwinGig Converter Module,
MDF-3130-I9-StackA,10.0.255.51,Module,800-27645-02,FDO1404072D,TwinGig Converter Module,Switch 2 - Slot 2 - TwinGig Converter Module,
