Site_Name,WAN1_Provider,WAN1_Speed,WAN2_Provider,WAN2_Speed,Category,Master_Carrier_A,Master_Cost_A,Master_Carrier_B,Master_Cost_B,DSR_Circuits_Found,Notes
AZN 04,Frontier,20.0M x 20.0M,Digi,Cell,Master No Cost,Frontier,,Cell,,Primary: Sparklight $248.75 (Order Canceled); Primary: CenturyLink Fiber Plus $440.00 (Order Canceled); Primary: Altice $128.73 (Order Canceled); Primary: CenturyLink Fiber Plus $490.00 (Order Canceled); Primary: SparkLight $224.99 (Order Canceled); Primary: EB2-CableOne Cable $335.00 (Order Canceled); Primary: Altice West $151.12 (Order Canceled); Primary: Altice West $151.12 (Order Canceled); Primary: EB2-CableOne Cable $335.00 (Order Canceled); Primary: EB2-CableOne Cable $335.00 (Order Canceled); Primary: nan $0.00 (Order Canceled); Primary: EB2-Sparklight Cable $207.00 (Order Cancellation Pending); Primary: nan $0.00 (Prequal Required); Secondary: EB2-CableOne Cable $335.00 (Order Canceled); Secondary: nan $0.00 (Order Canceled),In master list but no cost data
AZP_00,Cox Communications Inc.,300.0M x 30.0M,Digi,Cell,Construction Site,,,,,None,Appears to be construction/new site
AZP 56,Comcast,10.0M x 10.0M,Digi,Cell,Master No Cost,Century Link,,Cell,,Primary: Cox Business/BOI $220.22 (Order Canceled); Primary: nan $0.00 (Order Canceled); Primary: Cox Business/BOI $266.67 (Order Canceled); Primary: Lumen Fiber Plus $990.00 (Order Canceled); Primary: nan $0.00 (Information/Approval Needed From Sponsor); Primary: Cox Business/BOI $266.67 (Order Canceled); Secondary: EB2-Centurylink DSL $128.00 (Order Canceled),In master list but no cost data
AZP 63,NEW STORE NOT SET UP,,,,Master No Cost,,,,,Primary: Starlink $0.00 (Order Placed); Secondary: Cox Business/BOI $266.67 (Construction Approved),In master list but no cost data
CAL_00,Charter Communications,500.0M x 500.0M,Charter Communications Inc,600.0M x 35.0M,Construction Site,,,,,None,Appears to be construction/new site
CAL W01,Frontier,1000.0M x 1000.0M,,,Construction Site,,,,,None,Appears to be construction/new site
CAN_00,Comcast,300.0M x 30.0M,AT&T,300.0M x 300.0M,Construction Site,,,,,None,Appears to be construction/new site
CAN W02,Verizon,Cell,,,Construction Site,,,,,None,Appears to be construction/new site
CAS_00,Private Customer - AT&T Internet Services,300.0M x 300.0M,Cox Communications Inc.,300.0M x 30.0M,Special Provider,,,,,None,Special provider type - likely legitimate $0.00
CAS 35,Frontier Communications,500.0M x 500.0M,VZW Cell,Cell,Master No Cost,Frontier,,Cell,,Primary: Spectrum $172.23 (Order Canceled); Primary: nan $0.00 (Prequal Required),In master list but no cost data
CAS 41,Charter Communications,500.0M x 500.0M,VZW Cell,Cell,Provider Mismatch,Frontier,830.0,Cell,,Primary: Spectrum $172.23 (Order Canceled); Primary: NSA $0.00 (No Service Available),Master has cost but provider mismatch: WAN1='Charter Communications' vs Master='Frontier'
CAS 42,Cox Communications,,VZW Cell,Cell,Master No Cost,Cox,,Cell,,None,In master list but no cost data
CAS 46,AT&T,20.0M x 20.0M,VZW Cell,Cell,Master No Cost,AT&T,,Cell,,Secondary: Spectrum $172.23 (Order Canceled); Secondary: Spectrum Business $1099.00 (Order Canceled),In master list but no cost data
COD_00,Comcast,600.0M x 35.0M,Digi,,Construction Site,,,,,None,Appears to be construction/new site
