site_id,site_name,primary_provider,primary_ip,primary_bandwidth
ALB 01,ALB 01,AT&T Broadband II,108.209.60.25,200.0M x 200.0M
ALB 03,ALB 03,Spectrum,66.190.127.170,600.0M x 35.0M
ALM 01,ALM 01,Spectrum,35.135.143.110,600.0M x 35.0M
ALM 02,ALM 02,Spectrum,156.19.135.26,300.0M x 20.0M
ALM 03,ALM 03,Spectrum,156.19.130.22,940.0M x 35.0M
ALM 04,ALM 04,AT&T Broadband II,76.242.168.129,1000.0M x 1000.0M
ALN 01,ALN 01,Comcast Workplace,96.82.23.117,300.0M x 30.0M
ALN 02,ALN 02,AT&T Broadband II,162.199.104.113,300.0M x 300.0M
ALS 01,ALS 01,Spectrum,173.197.231.154,600.0M x 35.0M
ALS 02,ALS 02,C Spire,50.86.27.54,1000.0M x 1000.0M
ARL 01,ARL 01,AT&T Broadband II,107.129.220.41,1000.0M x 1000.0M
ARL 02,ARL 02,Comcast Workplace,50.214.80.229,250.0M x 25.0M
ARL 03,ARL 03,Conway Corporation,24.144.4.162,500.0M x 50.0M
ARL 04,ARL 04,Altice West,66.76.116.200,300.0M x 30.0M
ARL 05,ARL 05,AT&T Broadband II,107.140.226.113,1000.0M x 200.0M
ARL 06,ARL 06,Altice West,66.76.87.145,300.0M x 30.0M
ARO 01,ARO 01,Cox Business/BOI,174.76.168.174,300.0M x 30.0M
ARO 02,ARO 02,Cox Business/BOI,98.187.167.3,300.0M x 30.0M
ARO 03,ARO 03,AT&T Broadband II,104.3.161.209,500.0M x 100.0M
ARO 04,ARO 04,Cox Business/BOI,98.187.167.138,300.0M x 30.0M
ARO 05,ARO 05,Yelcot Communications,207.66.103.214,300.0M x 30.0M
ARO 06,ARO 06,AT&T Broadband II,99.11.64.81,1000.0M x 1000.0M
AZC 01,AZC 01,Cox Business/BOI,68.15.189.118,300.0M x 30.0M
AZF 01,AZF 01,CenturyLink Fiber Plus ,72.166.76.98,500.0M x 500.0M
AZF 02,AZF 02,Altice West,NaN,500.0M x 50.0M
AZH 01,AZH 01,Altice West,24.121.227.61,500.0M x 50.0M
AZM 01,AZM 01,Orbitel Communications,208.90.178.254,300.0M x 20.0M
AZN 02,AZN 02,EB2-CableOne Cable,24.117.65.74,300.0M x 30.0M
AZN 03,AZN 03,Sparklight,67.60.206.6,300.0M x 30.0M
AZN 05,AZN 05,TransWorld,69.171.123.138,500.0M x 500.0M
AZN 06,AZN 06,Sparklight,159.118.232.190,300.0M x 30.0M
AZP000,AZP 00,Cox Business/BOI,174.71.173.226,300.0M x 30.0M
AZP 01,AZP 01,Cox Business/BOI,24.250.126.75,300.0M x 30.0M
