Site Name,Confidence Score,Status,Reasons,WAN1 Provider,WAN1 Role,WAN1 IP,WAN1 ARIN,WAN2 Provider,WAN2 Role,WAN2 IP,WAN2 ARIN,DSR Primary Provider,DSR Primary IP,DSR Secondary Provider,DSR Secondary IP
ARL 02,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,108.241.236.49,AT&T,Comcast Workplace,Secondary,50.214.80.229,Comcast,Comcast Workplace,50.214.80.229,AT&T Broadband II,108.241.236.49
ARO 01,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,108.252.38.25,AT&T,Cox Business/BOI,Secondary,174.76.168.174,Cox Communications,Cox Business/BOI,174.76.168.174,AT&T Broadband II,108.252.38.25
ARO 02,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,104.3.166.57,AT&T,Cox Business/BOI,Secondary,98.187.167.3,Cox Communications,Cox Business/BOI,98.187.167.3,AT&T Broadband II,104.3.166.57
AZY 02,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN2 ARIN matches Primary DSR provider,Allo Communications,Primary,170.64.15.200,Customer Static IP Range at YUM02,Spectrum,Secondary,76.79.115.26,Charter Communications,Spectrum,76.79.115.26,Allo Communications,170.64.15.200
CAL 04,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,99.124.162.177,AT&T,Spectrum,Secondary,137.27.235.102,Charter Communications,Spectrum,137.27.235.102,AT&T Broadband II,99.124.162.177
CAL 21,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband,Primary,68.77.247.81,AT&T,AT&T Broadband II,Secondary,23.114.69.105,AT&T,AT&T Broadband,23.114.69.105,AT&T Broadband II,68.77.247.81
CAL 23,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,99.128.22.105,AT&T,Spectrum,Secondary,24.199.26.158,Charter Communications,Spectrum,24.199.26.158,AT&T Broadband II,99.128.22.105
CAL 35,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,107.215.140.233,AT&T,Spectrum,Secondary,47.46.116.98,Charter Communications,Spectrum,47.46.116.98,AT&T Broadband II,107.215.140.233
CAL 41,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,108.227.52.33,AT&T,Spectrum,Secondary,45.59.236.50,Charter Communications,Spectrum,45.59.236.50,AT&T Broadband II,108.227.52.33
CAL 43,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,104.52.151.233,AT&T,Spectrum,Secondary,68.189.120.98,Charter Communications,Spectrum,68.189.120.98,AT&T Broadband II,104.52.151.233
CAL 44,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,104.52.24.57,AT&T,Spectrum,Secondary,24.199.12.162,Charter Communications,Spectrum,24.199.12.162,AT&T Broadband II,104.52.24.57
CAL 47,4,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1,EB2-Frontier Fiber	,Primary,47.181.223.18,Frontier Communications Corporation,One Ring Networks,Secondary,72.34.92.210,"Skyriver Communications, Inc.",One Ring Networks ,72.34.92.210,EB2-Frontier Fiber,47.181.223.18
CAL 50,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider,Spectrum,Primary,137.27.200.110,Charter Communications,EB2-Frontier Fiber,Secondary,47.180.4.158,Frontier Communications,EB2-Frontier Fiber,47.180.4.158,Spectrum,137.27.200.110
CAN 03,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,162.225.208.9,AT&T,Comcast Workplace,Secondary,50.196.146.221,Comcast,Comcast Workplace,50.196.146.221,AT&T Broadband II,162.225.208.9
CAN 14,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,172.1.57.65,AT&T,Comcast Workplace,Secondary,50.208.43.185,Comcast,Comcast Workplace,50.208.43.185,AT&T Broadband II,172.1.57.65
CAN 23,4,FLIPPED,Primary DSR IP matches WAN2; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,"AT&T Enterprises, LLC",Primary,76.243.122.133,AT&T,Comcast Workplace,Secondary,173.8.170.141,Comcast,Comcast Workplace,173.8.170.141,AT&T Broadband II,76.243.122.129
CAN 24,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,45.19.143.81,AT&T,Comcast Workplace,Secondary,96.81.191.61,Comcast,Comcast Workplace,96.81.191.61,AT&T Broadband II,45.19.143.81
CAN 28,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN2 ARIN matches Primary DSR provider,EB2-Frontier Fiber,Primary,50.120.20.9,Frontier Communications,Comcast Workplace,Secondary,96.71.202.17,Comcast,Comcast Workplace,96.71.202.17,EB2-Frontier Fiber,50.120.20.9
CAN 31,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,172.1.56.153,AT&T,Comcast Workplace,Secondary,75.144.244.65,Comcast,Comcast Workplace,75.144.244.65,AT&T Broadband II,172.1.56.153
CAN 37,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,99.87.229.153,AT&T,Comcast Workplace,Secondary,162.17.80.189,Comcast,Comcast Workplace,162.17.80.189,AT&T Broadband II,99.87.229.153
CAN 53,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,Vast Networks,Primary,130.250.202.186,Vast Networks,Comcast Workplace,Secondary,96.86.129.253,Comcast,Comcast Workplace,96.86.129.253,Vast Networks,130.250.202.186
CAN 58,4,FLIPPED,Primary DSR IP matches WAN2; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,Private Customer - AT&T Internet Services,Primary,99.33.119.66,AT&T,Comcast Workplace,Secondary,75.150.3.233,Comcast,Comcast Workplace,75.150.3.233,AT&T Broadband II,99.33.119.65
CAO 03,4,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1,EB2-Frontier Fiber,Primary,47.181.255.152,Frontier Communications,GTT Ethernet,Secondary,47.180.218.74,Frontier Communications,GTT Ethernet,47.180.218.74,EB2-Frontier Fiber,47.181.255.152
CAO 06,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,76.248.43.73,AT&T,Cox Business/BOI,Secondary,98.189.252.131,Cox Communications,Cox Business/BOI,98.189.252.131,AT&T Broadband II,76.248.43.73
CAS 04,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,69.152.38.193,AT&T,Cox Business/BOI,Secondary,68.15.27.103,Cox Communications,Cox Business/BOI,68.15.27.103,AT&T Broadband II,69.152.38.193
CAS 05,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,104.185.82.209,AT&T,Cox Business/BOI,Secondary,98.186.226.135,Cox Communications,Cox Business/BOI,98.186.226.135,AT&T Broadband II,104.185.82.209
